,Repo,Link
0,tensorflow,https://github.com/tensorflow/tensorflow
1,react-native,https://github.com/facebook/react-native
2,electron,https://github.com/electron/electron
3,terminal,https://github.com/microsoft/terminal
4,godot,https://github.com/godotengine/godot
5,bitcoin,https://github.com/bitcoin/bitcoin
6,opencv,https://github.com/opencv/opencv
7,llama.cpp,https://github.com/ggml-org/llama.cpp
8,gpt4all,https://github.com/nomic-ai/gpt4all
9,swift,https://github.com/swiftlang/swift
10,protobuf,https://github.com/protocolbuffers/protobuf
11,tesseract,https://github.com/tesseract-ocr/tesseract
12,imgui,https://github.com/ocornut/imgui
13,Magisk,https://github.com/topjohnwu/Magisk
14,ImHex,https://github.com/WerWolv/ImHex
15,x64dbg,https://github.com/x64dbg/x64dbg
16,json,https://github.com/nlohmann/json
17,grpc,https://github.com/grpc/grpc
18,CPlusPlusThings,https://github.com/Light-City/CPlusPlusThings
19,ClickHouse,https://github.com/ClickHouse/ClickHouse
20,whisper.cpp,https://github.com/ggml-org/whisper.cpp
21,TrafficMonitor,https://github.com/zhongyang219/TrafficMonitor
22,ladybird,https://github.com/LadybirdBrowser/ladybird
23,leveldb,https://github.com/google/leveldb
24,aria2,https://github.com/aria2/aria2
25,interview,https://github.com/huihut/interview
26,googletest,https://github.com/google/googletest
27,faiss,https://github.com/facebookresearch/faiss
28,caffe,https://github.com/BVLC/caffe
29,carbon-lang,https://github.com/carbon-language/carbon-lang
30,openpose,https://github.com/CMU-Perceptual-Computing-Lab/openpose
31,aseprite,https://github.com/aseprite/aseprite
32,C-Plus-Plus,https://github.com/TheAlgorithms/C-Plus-Plus
33,serenity,https://github.com/SerenityOS/serenity
34,qBittorrent,https://github.com/qbittorrent/qBittorrent
35,calculator,https://github.com/microsoft/calculator
36,rocksdb,https://github.com/facebook/rocksdb
37,phantomjs,https://github.com/ariya/phantomjs
38,mediapipe,https://github.com/google-ai-edge/mediapipe
39,folly,https://github.com/facebook/folly
40,duckdb,https://github.com/duckdb/duckdb
41,dragonfly,https://github.com/dragonflydb/dragonfly
42,tdesktop,https://github.com/telegramdesktop/tdesktop
43,mongo,https://github.com/mongodb/mongo
44,taichi,https://github.com/taichi-dev/taichi
45,rethinkdb,https://github.com/rethinkdb/rethinkdb
46,xgboost,https://github.com/dmlc/xgboost
47,srs,https://github.com/ossrs/srs
48,emscripten,https://github.com/emscripten-core/emscripten
49,cmder,https://github.com/cmderdev/cmder
50,DeepSpeech,https://github.com/mozilla/DeepSpeech
51,Proton,https://github.com/ValveSoftware/Proton
52,flameshot,https://github.com/flameshot-org/flameshot
53,spdlog,https://github.com/gabime/spdlog
54,envoy,https://github.com/envoyproxy/envoy
55,apollo,https://github.com/ApolloAuto/apollo
56,modern-cpp-tutorial,https://github.com/changkun/modern-cpp-tutorial
57,Sunshine,https://github.com/LizardByte/Sunshine
58,Hyprland,https://github.com/hyprwm/Hyprland
59,notepad-plus-plus,https://github.com/notepad-plus-plus/notepad-plus-plus
60,btop,https://github.com/aristocratos/btop
61,solidity,https://github.com/ethereum/solidity
62,winget-cli,https://github.com/microsoft/winget-cli
63,flatbuffers,https://github.com/google/flatbuffers
64,FreeCAD,https://github.com/FreeCAD/FreeCAD
65,v8,https://github.com/v8/v8
66,QtScrcpy,https://github.com/barry-ran/QtScrcpy
67,RedisDesktopManager,https://github.com/RedisInsight/RedisDesktopManager
68,keepassxc,https://github.com/keepassxreboot/keepassxc
69,typesense,https://github.com/typesense/typesense
70,Paddle,https://github.com/PaddlePaddle/Paddle
71,osquery,https://github.com/osquery/osquery
72,llamafile,https://github.com/Mozilla-Ocho/llamafile
73,sqlitebrowser,https://github.com/sqlitebrowser/sqlitebrowser
74,shadPS4,https://github.com/shadps4-emu/shadPS4
75,tinyrenderer,https://github.com/ssloy/tinyrenderer
76,fmt,https://github.com/fmtlib/fmt
77,ncnn,https://github.com/Tencent/ncnn
78,CnC_Remastered_Collection,https://github.com/electronicarts/CnC_Remastered_Collection
79,mxnet,https://github.com/apache/mxnet
80,chromium,https://github.com/chromium/chromium
81,smartknob,https://github.com/scottbez1/smartknob
82,mlx,https://github.com/ml-explore/mlx
83,simdjson,https://github.com/simdjson/simdjson
84,Karabiner-Elements,https://github.com/pqrs-org/Karabiner-Elements
85,Catch2,https://github.com/catchorg/Catch2
86,trojan,https://github.com/trojan-gfw/trojan
87,xbmc,https://github.com/xbmc/xbmc
88,swoole-src,https://github.com/swoole/swoole-src
89,3d-game-shaders-for-beginners,https://github.com/lettier/3d-game-shaders-for-beginners
90,cocos2d-x,https://github.com/cocos2d/cocos2d-x
91,filament,https://github.com/google/filament
92,hhvm,https://github.com/facebook/hhvm
93,weex,https://github.com/alibaba/weex
94,TinyWebServer,https://github.com/qinguoyi/TinyWebServer
95,uWebSockets,https://github.com/uNetworking/uWebSockets
96,MMKV,https://github.com/Tencent/MMKV
97,leetcode,https://github.com/haoel/leetcode
98,yoga,https://github.com/facebook/yoga
99,CNTK,https://github.com/microsoft/CNTK
