,Repo,Link
0,awesome-go,https://github.com/avelino/awesome-go
1,ollama,https://github.com/ollama/ollama
2,go,https://github.com/golang/go
3,kubernetes,https://github.com/kubernetes/kubernetes
4,frp,https://github.com/fatedier/frp
5,gin,https://github.com/gin-gonic/gin
6,hugo,https://github.com/gohugoio/hugo
7,fzf,https://github.com/junegunn/fzf
8,syncthing,https://github.com/syncthing/syncthing
9,moby,https://github.com/moby/moby
10,caddy,https://github.com/caddyserver/caddy
11,act,https://github.com/nektos/act
12,lazygit,https://github.com/jesseduffield/lazygit
13,prometheus,https://github.com/prometheus/prometheus
14,traefik,https://github.com/traefik/traefik
15,mkcert,https://github.com/FiloSottile/mkcert
16,minio,https://github.com/minio/minio
17,dive,https://github.com/wagoodman/dive
18,rclone,https://github.com/rclone/rclone
19,etcd,https://github.com/etcd-io/etcd
20,go-ethereum,https://github.com/ethereum/go-ethereum
21,alist,https://github.com/AlistGo/alist
22,gitea,https://github.com/go-gitea/gitea
23,pocketbase,https://github.com/pocketbase/pocketbase
24,gogs,https://github.com/gogs/gogs
25,v2ray-core,https://github.com/v2ray/v2ray-core
26,terraform,https://github.com/hashicorp/terraform
27,lazydocker,https://github.com/jesseduffield/lazydocker
28,build-web-application-with-golang,https://github.com/astaxie/build-web-application-with-golang
29,nvm-windows,https://github.com/coreybutler/nvm-windows
30,cobra,https://github.com/spf13/cobra
31,memos,https://github.com/usememos/memos
32,cli,https://github.com/cli/cli
33,esbuild,https://github.com/evanw/esbuild
34,tidb,https://github.com/pingcap/tidb
35,gorm,https://github.com/go-gorm/gorm
36,photoprism,https://github.com/photoprism/photoprism
37,istio,https://github.com/istio/istio
38,fiber,https://github.com/gofiber/fiber
39,compose,https://github.com/docker/compose
40,the-way-to-go_ZH_CN,https://github.com/unknwon/the-way-to-go_ZH_CN
41,milvus,https://github.com/milvus-io/milvus
42,LeetCode-Go,https://github.com/halfrost/LeetCode-Go
43,harness,https://github.com/harness/harness
44,vault,https://github.com/hashicorp/vault
45,LocalAI,https://github.com/mudler/LocalAI
46,beego,https://github.com/beego/beego
47,nps,https://github.com/ehang-io/nps
48,v2ray-core,https://github.com/v2fly/v2ray-core
49,bubbletea,https://github.com/charmbracelet/bubbletea
50,echo,https://github.com/labstack/echo
51,fabric,https://github.com/danielmiessler/fabric
52,go-zero,https://github.com/zeromicro/go-zero
53,cockroach,https://github.com/cockroachdb/cockroach
54,minikube,https://github.com/kubernetes/minikube
55,croc,https://github.com/schollz/croc
56,k9s,https://github.com/derailed/k9s
57,CasaOS,https://github.com/IceWhaleTech/CasaOS
58,k3s,https://github.com/k3s-io/k3s
59,lux,https://github.com/iawia002/lux
60,consul,https://github.com/hashicorp/consul
61,filebrowser,https://github.com/filebrowser/filebrowser
62,restic,https://github.com/restic/restic
63,viper,https://github.com/spf13/viper
64,Xray-core,https://github.com/XTLS/Xray-core
65,AdGuardHome,https://github.com/AdguardTeam/AdGuardHome
66,1Panel,https://github.com/1Panel-dev/1Panel
67,wails,https://github.com/wailsapp/wails
68,helm,https://github.com/helm/helm
69,headscale,https://github.com/juanfont/headscale
70,k6,https://github.com/grafana/k6
71,kit,https://github.com/go-kit/kit
72,podman,https://github.com/containers/podman
73,fyne,https://github.com/fyne-io/fyne
74,go-patterns,https://github.com/tmrts/go-patterns
75,micro,https://github.com/zyedidia/micro
76,trivy,https://github.com/aquasecurity/trivy
77,faas,https://github.com/openfaas/faas
78,Wox,https://github.com/Wox-launcher/Wox
79,iris,https://github.com/kataras/iris
80,harbor,https://github.com/goharbor/harbor
81,docker_practice,https://github.com/yeasy/docker_practice
82,loki,https://github.com/grafana/loki
83,nsq,https://github.com/nsqio/nsq
84,logrus,https://github.com/sirupsen/logrus
85,opentofu,https://github.com/opentofu/opentofu
86,dapr,https://github.com/dapr/dapr
87,testify,https://github.com/stretchr/testify
88,ngrok,https://github.com/inconshreveable/ngrok
89,kratos,https://github.com/go-kratos/kratos
90,seaweedfs,https://github.com/seaweedfs/seaweedfs
91,vegeta,https://github.com/tsenart/vegeta
92,colly,https://github.com/gocolly/colly
93,rancher,https://github.com/rancher/rancher
94,delve,https://github.com/go-delve/delve
95,authelia,https://github.com/authelia/authelia
96,asdf,https://github.com/asdf-vm/asdf
97,websocket,https://github.com/gorilla/websocket
98,sing-box,https://github.com/SagerNet/sing-box
99,cli,https://github.com/urfave/cli
