,Repo,Link
0,react,https://github.com/facebook/react
1,javascript-algorithms,https://github.com/trekhleb/javascript-algorithms
2,javascript,https://github.com/airbnb/javascript
3,next.js,https://github.com/vercel/next.js
4,awesome-chatgpt-prompts,https://github.com/f/awesome-chatgpt-prompts
5,30-seconds-of-code,https://github.com/Chalarangelo/30-seconds-of-code
6,node,https://github.com/nodejs/node
7,axios,https://github.com/axios/axios
8,three.js,https://github.com/mrdoob/three.js
9,create-react-app,https://github.com/facebook/create-react-app
10,clean-code-javascript,https://github.com/ryanmcdermott/clean-code-javascript
11,open-webui,https://github.com/open-webui/open-webui
12,Web-Dev-For-Beginners,https://github.com/microsoft/Web-Dev-For-Beginners
13,svelte,https://github.com/sveltejs/svelte
14,awesome-mac,https://github.com/jaywcjlove/awesome-mac
15,Font-Awesome,https://github.com/FortAwesome/Font-Awesome
16,json-server,https://github.com/typicode/json-server
17,github-readme-stats,https://github.com/anuraghazra/github-readme-stats
18,reveal.js,https://github.com/hakimel/reveal.js
19,uptime-kuma,https://github.com/louislam/uptime-kuma
20,express,https://github.com/expressjs/express
21,Chart.js,https://github.com/chartjs/Chart.js
22,webpack,https://github.com/webpack/webpack
23,33-js-concepts,https://github.com/leonardomso/33-js-concepts
24,resume.github.com,https://github.com/resume/resume.github.com
25,atom,https://github.com/atom/atom
26,lodash,https://github.com/lodash/lodash
27,markdown-here,https://github.com/adam-p/markdown-here
28,jquery,https://github.com/jquery/jquery
29,anime,https://github.com/juliangarnier/anime
30,angular.js,https://github.com/angular/angular.js
31,html5-boilerplate,https://github.com/h5bp/html5-boilerplate
32,DeepLearning-500-questions,https://github.com/scutan90/DeepLearning-500-questions
33,gatsby,https://github.com/gatsbyjs/gatsby
34,leetcode,https://github.com/azl397985856/leetcode
35,drawio-desktop,https://github.com/jgraph/drawio-desktop
36,uBlock,https://github.com/gorhill/uBlock
37,Semantic-UI,https://github.com/Semantic-Org/Semantic-UI
38,pdf.js,https://github.com/mozilla/pdf.js
39,prettier,https://github.com/prettier/prettier
40,marktext,https://github.com/marktext/marktext
41,Ghost,https://github.com/TryGhost/Ghost
42,chinese-poetry,https://github.com/chinese-poetry/chinese-poetry
43,hacker-scripts,https://github.com/NARKOZ/hacker-scripts
44,hiring-without-whiteboards,https://github.com/poteto/hiring-without-whiteboards
45,moment,https://github.com/moment/moment
46,dayjs,https://github.com/iamkun/dayjs
47,algorithm-visualizer,https://github.com/algorithm-visualizer/algorithm-visualizer
48,Motrix,https://github.com/agalwood/Motrix
49,serverless,https://github.com/serverless/serverless
50,react,https://github.com/typescript-cheatsheets/react
51,meteor,https://github.com/meteor/meteor
52,htmx,https://github.com/bigskysoftware/htmx
53,30-Days-Of-JavaScript,https://github.com/Asabeneh/30-Days-Of-JavaScript
54,zx,https://github.com/google/zx
55,parcel,https://github.com/parcel-bundler/parcel
56,anything-llm,https://github.com/Mintplex-Labs/anything-llm
57,Leaflet,https://github.com/Leaflet/Leaflet
58,awesome-cheatsheets,https://github.com/LeCoupa/awesome-cheatsheets
59,monaco-editor,https://github.com/microsoft/monaco-editor
60,pm2,https://github.com/Unitech/pm2
61,edex-ui,https://github.com/GitSquared/edex-ui
62,reactjs-interview-questions,https://github.com/sudheerj/reactjs-interview-questions
63,yarn,https://github.com/yarnpkg/yarn
64,servers,https://github.com/modelcontextprotocol/servers
65,swiper,https://github.com/nolimits4web/swiper
66,nw.js,https://github.com/nwjs/nw.js
67,uni-app,https://github.com/dcloudio/uni-app
68,materialize,https://github.com/Dogfalo/materialize
69,video.js,https://github.com/videojs/video.js
70,EasySpider,https://github.com/NaiboWang/EasySpider
71,phaser,https://github.com/phaserjs/phaser
72,impress.js,https://github.com/impress/impress.js
73,preact,https://github.com/preactjs/preact
74,daisyui,https://github.com/saadeghi/daisyui
75,tesseract.js,https://github.com/naptha/tesseract.js
76,wtfjs,https://github.com/denysdovhan/wtfjs
77,insomnia,https://github.com/Kong/insomnia
78,Awesome-Design-Tools,https://github.com/goabstract/Awesome-Design-Tools
79,ToolJet,https://github.com/ToolJet/ToolJet
80,koa,https://github.com/koajs/koa
81,fullPage.js,https://github.com/alvarotrigo/fullPage.js
82,carbon,https://github.com/carbon-app/carbon
83,awesome-react-native,https://github.com/jondot/awesome-react-native
84,hackathon-starter,https://github.com/sahat/hackathon-starter
85,marked,https://github.com/markedjs/marked
86,clipboard.js,https://github.com/zenorocha/clipboard.js
87,react-beautiful-dnd,https://github.com/atlassian/react-beautiful-dnd
88,fastify,https://github.com/fastify/fastify
89,husky,https://github.com/typicode/husky
90,brackets,https://github.com/adobe/brackets
91,JavaScript,https://github.com/TheAlgorithms/JavaScript
92,gulp,https://github.com/gulpjs/gulp
93,bruno,https://github.com/usebruno/bruno
94,How-To-Ask-Questions-The-Smart-Way,https://github.com/ryanhanwu/How-To-Ask-Questions-The-Smart-Way
95,AnotherRedisDesktopManager,https://github.com/qishibo/AnotherRedisDesktopManager
96,remote-jobs,https://github.com/remoteintech/remote-jobs
97,learnGitBranching,https://github.com/pcottle/learnGitBranching
98,lottie-web,https://github.com/airbnb/lottie-web
99,CyberChef,https://github.com/gchq/CyberChef
