,Repo,Link
0,JavaGuide,https://github.com/Snailclimb/JavaGuide
1,hello-algo,https://github.com/krahets/hello-algo
2,java-design-patterns,https://github.com/iluwatar/java-design-patterns
3,mall,https://github.com/macrozheng/mall
4,advanced-java,https://github.com/doocs/advanced-java
5,spring-boot,https://github.com/spring-projects/spring-boot
6,LeetCodeAnimation,https://github.com/MisterBooo/LeetCodeAnimation
7,elasticsearch,https://github.com/elastic/elasticsearch
8,interviews,https://github.com/kdn251/interviews
9,Java,https://github.com/TheAlgorithms/Java
10,spring-framework,https://github.com/spring-projects/spring-framework
11,Stirling-PDF,https://github.com/Stirling-Tools/Stirling-PDF
12,ghidra,https://github.com/NationalSecurityAgency/ghidra
13,guava,https://github.com/google/guava
14,RxJava,https://github.com/ReactiveX/RxJava
15,jadx,https://github.com/skylot/jadx
16,dbeaver,https://github.com/dbeaver/dbeaver
17,JeecgBoot,https://github.com/jeecgboot/JeecgBoot
18,dubbo,https://github.com/apache/dubbo
19,termux-app,https://github.com/termux/termux-app
20,MPAndroidChart,https://github.com/PhilJay/MPAndroidChart
21,tutorials,https://github.com/eugenp/tutorials
22,arthas,https://github.com/alibaba/arthas
23,hello-algorithm,https://github.com/geekxh/hello-algorithm
24,halo,https://github.com/halo-dev/halo
25,lottie-android,https://github.com/airbnb/lottie-android
26,glide,https://github.com/bumptech/glide
27,netty,https://github.com/netty/netty
28,leetcode,https://github.com/doocs/leetcode
29,spring-boot-demo,https://github.com/xkcoding/spring-boot-demo
30,NewPipe,https://github.com/TeamNewPipe/NewPipe
31,AndroidUtilCode,https://github.com/Blankj/AndroidUtilCode
32,easyexcel,https://github.com/alibaba/easyexcel
33,zxing,https://github.com/zxing/zxing
34,selenium,https://github.com/SeleniumHQ/selenium
35,nacos,https://github.com/alibaba/nacos
36,WxJava,https://github.com/binarywang/WxJava
37,ruoyi-vue-pro,https://github.com/YunaiV/ruoyi-vue-pro
38,spring-boot-examples,https://github.com/ityouknow/spring-boot-examples
39,kafka,https://github.com/apache/kafka
40,hutool,https://github.com/chinabugotech/hutool
41,apollo,https://github.com/apolloconfig/apollo
42,canal,https://github.com/alibaba/canal
43,SpringAll,https://github.com/wuyouzhuguli/SpringAll
44,xxl-job,https://github.com/xuxueli/xxl-job
45,spring-cloud-alibaba,https://github.com/alibaba/spring-cloud-alibaba
46,druid,https://github.com/alibaba/druid
47,vhr,https://github.com/lenve/vhr
48,JCSprout,https://github.com/crossoverJie/JCSprout
49,keycloak,https://github.com/keycloak/keycloak
50,miaosha,https://github.com/qiurunze123/miaosha
51,Telegram,https://github.com/DrKLO/Telegram
52,fastjson,https://github.com/alibaba/fastjson
53,incubator-seata,https://github.com/apache/incubator-seata
54,butterknife,https://github.com/JakeWharton/butterknife
55,toBeTopJavaer,https://github.com/hollischuang/toBeTopJavaer
56,SmartRefreshLayout,https://github.com/scwang90/SmartRefreshLayout
57,proxyee-down,https://github.com/proxyee-down-org/proxyee-down
58,flink,https://github.com/apache/flink
59,EventBus,https://github.com/greenrobot/EventBus
60,Hystrix,https://github.com/Netflix/Hystrix
61,skywalking,https://github.com/apache/skywalking
62,bazel,https://github.com/bazelbuild/bazel
63,libgdx,https://github.com/libgdx/libgdx
64,jenkins,https://github.com/jenkinsci/jenkins
65,redisson,https://github.com/redisson/redisson
66,Mindustry,https://github.com/Anuken/Mindustry
67,gson,https://github.com/google/gson
68,openapi-generator,https://github.com/OpenAPITools/openapi-generator
69,Sentinel,https://github.com/alibaba/Sentinel
70,source-code-hunter,https://github.com/doocs/source-code-hunter
71,Chat2DB,https://github.com/CodePhiliaX/Chat2DB
72,awesome-system-design-resources,https://github.com/ashishps1/awesome-system-design-resources
73,FizzBuzzEnterpriseEdition,https://github.com/EnterpriseQualityCoding/FizzBuzzEnterpriseEdition
74,SmartTube,https://github.com/yuliskov/SmartTube
75,Apktool,https://github.com/iBotPeaches/Apktool
76,ExoPlayer,https://github.com/google/ExoPlayer
77,rocketmq,https://github.com/apache/rocketmq
78,eladmin,https://github.com/elunez/eladmin
79,jdk,https://github.com/openjdk/jdk
80,graal,https://github.com/oracle/graal
81,GSYVideoPlayer,https://github.com/CarGuo/GSYVideoPlayer
82,conductor,https://github.com/conductor-oss/conductor
83,HikariCP,https://github.com/brettwooldridge/HikariCP
84,DoKit,https://github.com/didi/DoKit
85,shardingsphere,https://github.com/apache/shardingsphere
86,mybatis-3,https://github.com/mybatis/mybatis-3
87,dataease,https://github.com/dataease/dataease
88,LSPosed,https://github.com/LSPosed/LSPosed
89,RxAndroid,https://github.com/ReactiveX/RxAndroid
90,litemall,https://github.com/linlinjava/litemall
91,SpringBoot-Labs,https://github.com/yudaocode/SpringBoot-Labs
92,DSA-Bootcamp-Java,https://github.com/kunal-kushwaha/DSA-Bootcamp-Java
93,cat,https://github.com/dianping/cat
94,PhotoView,https://github.com/Baseflow/PhotoView
95,thingsboard,https://github.com/thingsboard/thingsboard
96,SpringCloudLearning,https://github.com/forezp/SpringCloudLearning
97,intellij-community,https://github.com/JetBrains/intellij-community
98,Algorithms,https://github.com/williamfiset/Algorithms
99,antlr4,https://github.com/antlr/antlr4
