,Repo,Link
0,public-apis,https://github.com/public-apis/public-apis
1,system-design-primer,https://github.com/donnemartin/system-design-primer
2,awesome-python,https://github.com/vinta/awesome-python
3,Python,https://github.com/TheAlgorithms/Python
4,AutoGPT,https://github.com/Significant-Gravitas/AutoGPT
5,stable-diffusion-webui,https://github.com/AUTOMATIC1111/stable-diffusion-webui
6,transformers,https://github.com/huggingface/transformers
7,youtube-dl,https://github.com/ytdl-org/youtube-dl
8,yt-dlp,https://github.com/yt-dlp/yt-dlp
9,HelloGitHub,https://github.com/521xueweihan/HelloGitHub
10,DeepSeek-V3,https://github.com/deepseek-ai/DeepSeek-V3
11,thefuck,https://github.com/nvbn/thefuck
12,pytorch,https://github.com/pytorch/pytorch
13,fastapi,https://github.com/fastapi/fastapi
14,django,https://github.com/django/django
15,whisper,https://github.com/openai/whisper
16,core,https://github.com/home-assistant/core
17,models,https://github.com/tensorflow/models
18,manim,https://github.com/3b1b/manim
19,ComfyUI,https://github.com/comfyanonymous/ComfyUI
20,devops-exercises,https://github.com/bregman-arie/devops-exercises
21,funNLP,https://github.com/fighting41love/funNLP
22,screenshot-to-code,https://github.com/abi/screenshot-to-code
23,flask,https://github.com/pallets/flask
24,d2l-zh,https://github.com/d2l-ai/d2l-zh
25,gpt_academic,https://github.com/binary-husky/gpt_academic
26,awesome-machine-learning,https://github.com/josephmisiti/awesome-machine-learning
27,cpython,https://github.com/python/cpython
28,PayloadsAllTheThings,https://github.com/swisskyrepo/PayloadsAllTheThings
29,ansible,https://github.com/ansible/ansible
30,gpt4free,https://github.com/xtekky/gpt4free
31,sherlock,https://github.com/sherlock-project/sherlock
32,keras,https://github.com/keras-team/keras
33,scikit-learn,https://github.com/scikit-learn/scikit-learn
34,new-pac,https://github.com/Alvin9999/new-pac
35,annotated_deep_learning_paper_implementations,https://github.com/labmlai/annotated_deep_learning_paper_implementations
36,open-interpreter,https://github.com/OpenInterpreter/open-interpreter
37,localstack,https://github.com/localstack/localstack
38,llama,https://github.com/meta-llama/llama
39,browser-use,https://github.com/browser-use/browser-use
40,langflow,https://github.com/langflow-ai/langflow
41,private-gpt,https://github.com/zylon-ai/private-gpt
42,you-get,https://github.com/soimort/you-get
43,scrapy,https://github.com/scrapy/scrapy
44,MetaGPT,https://github.com/geekan/MetaGPT
45,face_recognition,https://github.com/ageitgey/face_recognition
46,markitdown,https://github.com/microsoft/markitdown
47,Real-Time-Voice-Cloning,https://github.com/CorentinJ/Real-Time-Voice-Cloning
48,gpt-engineer,https://github.com/AntonOsika/gpt-engineer
49,faceswap,https://github.com/deepfakes/faceswap
50,yolov5,https://github.com/ultralytics/yolov5
51,OpenHands,https://github.com/All-Hands-AI/OpenHands
52,openpilot,https://github.com/commaai/openpilot
53,requests,https://github.com/psf/requests
54,hackingtool,https://github.com/Z4nzu/hackingtool
55,rich,https://github.com/Textualize/rich
56,Deep-Live-Cam,https://github.com/hacksider/Deep-Live-Cam
57,grok-1,https://github.com/xai-org/grok-1
58,PaddleOCR,https://github.com/PaddlePaddle/PaddleOCR
59,LLaMA-Factory,https://github.com/hiyouga/LLaMA-Factory
60,professional-programming,https://github.com/charlax/professional-programming
61,big-list-of-naughty-strings,https://github.com/minimaxir/big-list-of-naughty-strings
62,30-Days-Of-Python,https://github.com/Asabeneh/30-Days-Of-Python
63,vllm,https://github.com/vllm-project/vllm
64,GPT-SoVITS,https://github.com/RVC-Boss/GPT-SoVITS
65,pandas,https://github.com/pandas-dev/pandas
66,OpenManus,https://github.com/mannaandpoem/OpenManus
67,Fooocus,https://github.com/lllyasviel/Fooocus
68,autogen,https://github.com/microsoft/autogen
69,text-generation-webui,https://github.com/oobabooga/text-generation-webui
70,odoo,https://github.com/odoo/odoo
71,python-patterns,https://github.com/faif/python-patterns
72,llama_index,https://github.com/run-llama/llama_index
73,OpenBB,https://github.com/OpenBB-finance/OpenBB
74,ChatGLM-6B,https://github.com/THUDM/ChatGLM-6B
75,nanoGPT,https://github.com/karpathy/nanoGPT
76,stablediffusion,https://github.com/Stability-AI/stablediffusion
77,ColossalAI,https://github.com/hpcaitech/ColossalAI
78,crawl4ai,https://github.com/unclecode/crawl4ai
79,sentry,https://github.com/getsentry/sentry
80,diagrams,https://github.com/mingrammer/diagrams
81,ailearning,https://github.com/apachecn/ailearning
82,black,https://github.com/psf/black
83,ultralytics,https://github.com/ultralytics/ultralytics
84,airflow,https://github.com/apache/airflow
85,TTS,https://github.com/coqui-ai/TTS
86,cheat.sh,https://github.com/chubin/cheat.sh
87,bert,https://github.com/google-research/bert
88,streamlit,https://github.com/streamlit/streamlit
89,Deep-Learning-Papers-Reading-Roadmap,https://github.com/floodsung/Deep-Learning-Papers-Reading-Roadmap
90,mitmproxy,https://github.com/mitmproxy/mitmproxy
91,freqtrade,https://github.com/freqtrade/freqtrade
92,FastChat,https://github.com/lm-sys/FastChat
93,DeepSpeed,https://github.com/deepspeedai/DeepSpeed
94,quivr,https://github.com/QuivrHQ/quivr
95,gradio,https://github.com/gradio-app/gradio
96,unsloth,https://github.com/unslothai/unsloth
97,Open-Assistant,https://github.com/LAION-AI/Open-Assistant
98,python-cheatsheet,https://github.com/gto76/python-cheatsheet
99,interview_internal_reference,https://github.com/0voice/interview_internal_reference
