File,Commit,Author,Commit Message,Start Line,End Line,Previous Author,Previous Commit,Keyword Label,Commit Date,Previous Commit Date
icons/cmder_blue.ico,9a3eab9,Josh Goldberg,Added rainbow icons,1,17,,,0,2016-06-30 16:04:29,
icons/cmder_green.ico,9a3eab9,Josh Goldberg,Added rainbow icons,1,21,,,0,2016-06-30 16:04:29,
icons/cmder_orange.ico,9a3eab9,Josh Goldberg,Added rainbow icons,1,25,,,0,2016-06-30 16:04:29,
icons/cmder_red.ico,9a3eab9,Josh Goldberg,Added rainbow icons,1,17,,,0,2016-06-30 16:04:29,
icons/cmder_purple.ico,9a3eab9,Josh Goldberg,Added rainbow icons,1,23,,,0,2016-06-30 16:04:29,
icons/cmder.ico,471e341,Samuel Vasko,Now with icons!,1,17,,,0,2013-11-15 16:06:46,
launcher/src/resource.h,cfe22c8,David Refoua,set encoding to UTF-8,1,18,,,0,2018-09-04 22:52:57,
icons/cmder_yellow.ico,9a3eab9,Josh Goldberg,Added rainbow icons,1,26,,,0,2016-06-30 16:04:29,
launcher/CmderLauncher.sln,e9f20ae,Gaizka P,Added build configurations for x64.,12,13,David Refoua,cfe22c8,0,2020-06-24 01:01:54,2018-09-04 22:52:57
launcher/CmderLauncher.sln,8659b9c,Benjamin Staneck,update VS to 2015 release version and switch to /MT for static linking,3,4,Martin Kemp,c4873c6,0,2015-08-04 13:00:32,2015-05-19 14:48:04
launcher/CmderLauncher.sln,cfe22c8,David Refoua,set encoding to UTF-8,1,1,Benjamin Staneck,8659b9c,0,2018-09-04 22:52:57,2015-08-04 13:00:32
launcher/CmderLauncher.sln,48e4046,Austin Wagner,Add launcher  Fixes bliker/cmder#39 Launcher replaces functionality of batch file to allow taskbar pinning,24,28,,,0,2013-11-30 14:15:42,
launcher/CmderLauncher.sln,48e4046,Austin Wagner,Add launcher  Fixes bliker/cmder#39 Launcher replaces functionality of batch file to allow taskbar pinning,5,11,,,0,2013-11-30 14:15:42,
launcher/CmderLauncher.sln,e9f20ae,Gaizka P,Added build configurations for x64.,20,23,David Refoua,cfe22c8,0,2020-06-24 01:01:54,2018-09-04 22:52:57
launcher/CmderLauncher.sln,48e4046,Austin Wagner,Add launcher  Fixes bliker/cmder#39 Launcher replaces functionality of batch file to allow taskbar pinning,2,2,,,0,2013-11-30 14:15:42,
launcher/CmderLauncher.sln,48e4046,Austin Wagner,Add launcher  Fixes bliker/cmder#39 Launcher replaces functionality of batch file to allow taskbar pinning,14,19,,,0,2013-11-30 14:15:42,
launcher/src/strings.rc2,3ef53f6,David Refoua,add strings.rc2,1,6,,,0,2018-09-04 22:48:59,
launcher/src/strings.rc2,8ee5e36,David Refoua,update switches string,9,9,David Refoua,9b121f1,0,2022-09-09 16:56:11,2018-09-04 23:52:42
launcher/src/strings.rc2,abbab3f,David Refoua,trim trailing spaces,8,8,David Refoua,760566a,0,2022-10-15 09:16:13,2022-09-12 18:03:52
launcher/src/strings.rc2,9b121f1,David Refoua,switch to taskdialog,7,7,David Refoua,3ef53f6,0,2018-09-04 23:52:42,2018-09-04 22:48:59
launcher/src/strings.rc2,3ef53f6,David Refoua,add strings.rc2,10,12,,,0,2018-09-04 22:48:59,
launcher/src/app.manifest,1dadade,David Refoua,replaces spaces to tabs,8,8,David Refoua,2bc17c4,0,2018-03-28 17:54:26,2018-03-28 17:52:56
launcher/src/app.manifest,dc9e385,David Refoua,add cmder manifest file,1,4,,,0,2018-03-28 14:13:41,
launcher/src/app.manifest,1dadade,David Refoua,replaces spaces to tabs,12,13,David Refoua,2bc17c4,0,2018-03-28 17:54:26,2018-03-28 17:52:56
launcher/src/app.manifest,dc9e385,David Refoua,add cmder manifest file,14,14,,,0,2018-03-28 14:13:41,
launcher/src/app.manifest,1dadade,David Refoua,replaces spaces to tabs,5,5,David Refoua,2bc17c4,0,2018-03-28 17:54:26,2018-03-28 17:52:56
launcher/src/app.manifest,dc9e385,David Refoua,add cmder manifest file,6,6,,,0,2018-03-28 14:13:41,
launcher/src/app.manifest,dc9e385,David Refoua,add cmder manifest file,9,11,,,0,2018-03-28 14:13:41,
launcher/src/app.manifest,abbab3f,David Refoua,trim trailing spaces,7,7,David Refoua,1dadade,0,2022-10-15 09:16:13,2018-03-28 17:54:26
launcher/src/app.manifest,1dadade,David Refoua,replaces spaces to tabs,15,15,David Refoua,2bc17c4,0,2018-03-28 17:54:26,2018-03-28 17:52:56
launcher/src/app.manifest,1dadade,David Refoua,replaces spaces to tabs,20,20,David Refoua,2bc17c4,0,2018-03-28 17:54:26,2018-03-28 17:52:56
launcher/src/app.manifest,abbab3f,David Refoua,trim trailing spaces,19,19,David Refoua,1dadade,0,2022-10-15 09:16:13,2018-03-28 17:54:26
launcher/src/app.manifest,dc9e385,David Refoua,add cmder manifest file,16,18,,,0,2018-03-28 14:13:41,
launcher/src/app.manifest,dc9e385,David Refoua,add cmder manifest file,21,24,,,0,2018-03-28 14:13:41,
launcher/src/app.manifest,1dadade,David Refoua,replaces spaces to tabs,25,26,David Refoua,2bc17c4,0,2018-03-28 17:54:26,2018-03-28 17:52:56
launcher/src/app.manifest,abbab3f,David Refoua,trim trailing spaces,30,30,David Refoua,1dadade,0,2022-10-15 09:16:13,2018-03-28 17:54:26
launcher/src/app.manifest,dc9e385,David Refoua,add cmder manifest file,27,29,,,0,2018-03-28 14:13:41,
launcher/src/app.manifest,1dadade,David Refoua,replaces spaces to tabs,31,31,David Refoua,2bc17c4,0,2018-03-28 17:54:26,2018-03-28 17:52:56
launcher/src/app.manifest,dc9e385,David Refoua,add cmder manifest file,32,41,,,0,2018-03-28 14:13:41,
launcher/src/app.manifest,47caafb,David Refoua,update launcher manifest comments,42,42,David Refoua,abbab3f,0,2022-11-04 15:25:25,2022-10-15 09:16:13
