File,Commit,Author,Commit Message,Start Line,End Line,Previous Author,Previous Commit,Keyword Label,Commit Date,Previous Commit Date
netlify.toml,9f9087a,Kirill Zhuravlev,netlify config,1,47,,,0,2023-04-03 11:16:25,
pkg/markdown/convert.go,85cd71e,Benjamin Schoch,code style,45,45,Benjamin Schoch,4b54315,0,2022-09-19 09:44:12,2022-09-19 09:44:12
pkg/markdown/convert.go,85cd71e,Benjamin Schoch,code style,50,50,Benjamin Schoch,4b54315,0,2022-09-19 09:44:12,2022-09-19 09:44:12
pkg/markdown/convert.go,85cd71e,Benjamin Schoch,code style,40,40,Benjamin Schoch,4b54315,0,2022-09-19 09:44:12,2022-09-19 09:44:12
pkg/markdown/convert.go,4b54315,Benjamin Schoch,optimize markdown parsing,46,49,,,0,2022-09-19 09:44:12,
pkg/markdown/convert.go,e318f94,Kirill Zhuravlev,rename,15,16,Benjamin Schoch,85cd71e,0,2023-04-03 11:16:18,2022-09-19 09:44:12
pkg/markdown/convert.go,4b54315,Benjamin Schoch,optimize markdown parsing,17,39,,,0,2022-09-19 09:44:12,
pkg/markdown/convert.go,4b54315,Benjamin Schoch,optimize markdown parsing,41,44,,,0,2022-09-19 09:44:12,
pkg/markdown/convert.go,4b54315,Benjamin Schoch,optimize markdown parsing,1,14,,,0,2022-09-19 09:44:12,
pkg/markdown/convert.go,4b54315,Benjamin Schoch,optimize markdown parsing,51,53,,,0,2022-09-19 09:44:12,
go.mod,5d166a5,Alex Bozhenko,update go and deps,3,3,dependabot[bot],c7fdad2,0,2023-12-21 11:55:56,2023-10-12 04:35:43
go.mod,495104a,Avelino,go mod init  Signed-off-by: Avelino <avelinorun@gmail.com>,5,6,,,0,2021-12-16 09:26:09,
go.mod,5d166a5,Alex Bozhenko,update go and deps,7,7,dependabot[bot],c7fdad2,0,2023-12-21 11:55:56,2023-10-12 04:35:43
go.mod,affdb67,dependabot[bot],Bump golang.org/x/net from 0.36.0 to 0.38.0 (#5667)  Bumps [golang.org/x/net](https://github.com/golang/net) from 0.36.0 to 0.38.0. - [Commits](https://github.com/golang/net/compare/v0.36.0...v0.38.0)  --- updated-dependencies: - dependency-name: golang.org/x/net   dependency-version: 0.38.0   dependency-type: indirect ...  Signed-off-by: dependabot[bot] <support@github.com> Co-authored-by: dependabot[bot] <49699333+dependabot[bot]@users.noreply.github.com>,4,4,dependabot[bot],f6226d8,0,2025-04-17 03:18:26,2025-03-14 02:31:41
go.mod,495104a,Avelino,go mod init  Signed-off-by: Avelino <avelinorun@gmail.com>,1,2,,,0,2021-12-16 09:26:09,
go.mod,495104a,Avelino,go mod init  Signed-off-by: Avelino <avelinorun@gmail.com>,12,15,,,0,2021-12-16 09:26:09,
go.mod,5d166a5,Alex Bozhenko,update go and deps,9,11,dependabot[bot],c7fdad2,0,2023-12-21 11:55:56,2023-10-12 04:35:43
go.mod,f181e73,Avelino,change github_flavored_markdown to gomarkdown/markdown  Signed-off-by: Avelino <avelinorun@gmail.com>,8,8,Avelino,495104a,0,2021-12-22 13:51:24,2021-12-16 09:26:09
go.mod,5d166a5,Alex Bozhenko,update go and deps,21,21,dependabot[bot],c7fdad2,0,2023-12-21 11:55:56,2023-10-12 04:35:43
go.mod,5d166a5,Alex Bozhenko,update go and deps,16,16,dependabot[bot],c7fdad2,0,2023-12-21 11:55:56,2023-10-12 04:35:43
go.mod,495104a,Avelino,go mod init  Signed-off-by: Avelino <avelinorun@gmail.com>,23,23,,,0,2021-12-16 09:26:09,
go.mod,affdb67,dependabot[bot],Bump golang.org/x/net from 0.36.0 to 0.38.0 (#5667)  Bumps [golang.org/x/net](https://github.com/golang/net) from 0.36.0 to 0.38.0. - [Commits](https://github.com/golang/net/compare/v0.36.0...v0.38.0)  --- updated-dependencies: - dependency-name: golang.org/x/net   dependency-version: 0.38.0   dependency-type: indirect ...  Signed-off-by: dependabot[bot] <support@github.com> Co-authored-by: dependabot[bot] <49699333+dependabot[bot]@users.noreply.github.com>,17,20,dependabot[bot],f6226d8,0,2025-04-17 03:18:26,2025-03-14 02:31:41
