File,Commit,Author,Commit Message,Start Line,End Line,Previous Author,Previous Commit,Keyword Label,Commit Date,Previous Commit Date
cli/example.yaml,8f4aab4,Matt Joyce,Fix: Issue with the custom message and added example config file.,1,21,,,1,2024-12-16 09:44:05,
cli/cli_test.go,4b3afb3,Eugen Eisler,feat: simplify setup logic,9,12,,,0,2024-08-22 19:45:36,
cli/cli_test.go,4b3afb3,Eugen Eisler,feat: simplify setup logic,1,6,,,0,2024-08-22 19:45:36,
cli/cli_test.go,d8c3c29,Eugen Eisler,fix: cli test,19,20,Eugen Eisler,8f7acac,1,2024-09-27 10:07:11,2024-09-26 19:09:01
cli/cli_test.go,9452d6b,Eugen Eisler,feat: implement print session and context,18,18,Eugen Eisler,e714b6c,0,2024-10-04 22:57:11,2024-09-27 10:12:38
cli/cli_test.go,4b3afb3,Eugen Eisler,feat: simplify setup logic,21,21,,,0,2024-08-22 19:45:36,
cli/cli_test.go,e714b6c,Eugen Eisler,fix: skip cli test for now,13,17,Eugen Eisler,d8c3c29,1,2024-09-27 10:12:38,2024-09-27 10:07:11
cli/cli_test.go,1f765c5,jaredmontoya,flake: fix/update,7,8,Eugen Eisler,61f66f8,1,2025-02-26 15:12:05,2024-10-19 11:09:37
cli/output_test.go,609df94,Eugen Eisler,"feat: plugins arch., new setup procedure",1,28,,,0,2024-10-19 11:09:58,
cli/output.go,609df94,Eugen Eisler,"feat: plugins arch., new setup procedure",1,4,,,0,2024-10-19 11:09:58,
cli/output.go,e17b96d,Eugen Eisler,feat: write tools output also to output file if defined; fix XouTube transcript &#39; character,26,27,Eugen Eisler,609df94,1,2024-10-30 12:50:52,2024-10-19 11:09:58
cli/output.go,609df94,Eugen Eisler,"feat: plugins arch., new setup procedure",8,25,,,0,2024-10-19 11:09:58,
cli/output.go,609df94,Eugen Eisler,"feat: plugins arch., new setup procedure",5,5,,,0,2024-10-19 11:09:58,
cli/output.go,609df94,Eugen Eisler,"feat: plugins arch., new setup procedure",28,30,,,0,2024-10-19 11:09:58,
cli/output.go,1f765c5,jaredmontoya,flake: fix/update,6,7,Eugen Eisler,e17b96d,1,2025-02-26 15:12:05,2024-10-30 12:50:52
cli/flags_test.go,e7fd450,Bin,fix: usage with deprecated elements,28,28,Eugen Eisler,4b3afb3,1,2024-08-29 08:08:55,2024-08-22 19:45:36
cli/flags_test.go,a619c91,Riccardo Zanella,adding flag for pinning seed in openai and compatible APIs,56,56,Eugen Eisler,147da29,0,2024-09-20 15:59:35,2024-09-15 18:38:19
cli/flags_test.go,4b3afb3,Eugen Eisler,feat: simplify setup logic,29,55,,,0,2024-08-22 19:45:36,
cli/flags_test.go,4b3afb3,Eugen Eisler,feat: simplify setup logic,1,5,,,0,2024-08-22 19:45:36,
cli/flags_test.go,4b3afb3,Eugen Eisler,feat: simplify setup logic,6,27,,,0,2024-08-22 19:45:36,
cli/flags_test.go,147da29,Eugen Eisler,"feat: use -r, --raw: Use defaults of model (don't send temperature etc.) and use the user role instead of the system role.",60,64,Eugen Eisler,329c843,0,2024-09-15 18:38:19,2024-09-15 13:09:45
cli/flags_test.go,4b3afb3,Eugen Eisler,feat: simplify setup logic,57,59,,,0,2024-08-22 19:45:36,
cli/flags_test.go,a619c91,Riccardo Zanella,adding flag for pinning seed in openai and compatible APIs,65,85,Eugen Eisler,147da29,0,2024-09-20 15:59:35,2024-09-15 18:38:19
cli/flags_test.go,4b3afb3,Eugen Eisler,feat: simplify setup logic,86,89,,,0,2024-08-22 19:45:36,
cli/flags_test.go,12284ad,github-actions[bot],Update version to v1.4.122 and commit,101,101,Matt Joyce,89153dd,0,2024-12-14 15:02:50,2024-12-14 03:37:12
cli/flags_test.go,89153dd,Matt Joyce,"feat: Add YAML configuration support  Add support for persistent configuration via YAML files. Users can now specify common options in a config file while maintaining the ability to override with CLI flags. Currently supports core options like model, temperature, and pattern settings.  - Add --config flag for specifying YAML config path - Support standard option precedence (CLI > YAML > defaults) - Add type-safe YAML parsing with reflection - Add tests for YAML config functionality",102,105,Eugen Eisler,9c98977,0,2024-12-14 03:37:12,2024-10-29 21:03:47
cli/flags_test.go,89153dd,Matt Joyce,"feat: Add YAML configuration support  Add support for persistent configuration via YAML files. Users can now specify common options in a config file while maintaining the ability to override with CLI flags. Currently supports core options like model, temperature, and pattern settings.  - Add --config flag for specifying YAML config path - Support standard option precedence (CLI > YAML > defaults) - Add type-safe YAML parsing with reflection - Add tests for YAML config functionality",90,100,Eugen Eisler,9c98977,0,2024-12-14 03:37:12,2024-10-29 21:03:47
cli/flags_test.go,12284ad,github-actions[bot],Update version to v1.4.122 and commit,106,106,Matt Joyce,89153dd,0,2024-12-14 15:02:50,2024-12-14 03:37:12
cli/flags_test.go,89153dd,Matt Joyce,"feat: Add YAML configuration support  Add support for persistent configuration via YAML files. Users can now specify common options in a config file while maintaining the ability to override with CLI flags. Currently supports core options like model, temperature, and pattern settings.  - Add --config flag for specifying YAML config path - Support standard option precedence (CLI > YAML > defaults) - Add type-safe YAML parsing with reflection - Add tests for YAML config functionality",107,108,Eugen Eisler,9c98977,0,2024-12-14 03:37:12,2024-10-29 21:03:47
cli/flags_test.go,12284ad,github-actions[bot],Update version to v1.4.122 and commit,109,109,Matt Joyce,89153dd,0,2024-12-14 15:02:50,2024-12-14 03:37:12
cli/flags_test.go,12284ad,github-actions[bot],Update version to v1.4.122 and commit,114,123,Matt Joyce,89153dd,0,2024-12-14 15:02:50,2024-12-14 03:37:12
cli/flags_test.go,89153dd,Matt Joyce,"feat: Add YAML configuration support  Add support for persistent configuration via YAML files. Users can now specify common options in a config file while maintaining the ability to override with CLI flags. Currently supports core options like model, temperature, and pattern settings.  - Add --config flag for specifying YAML config path - Support standard option precedence (CLI > YAML > defaults) - Add type-safe YAML parsing with reflection - Add tests for YAML config functionality",110,113,Eugen Eisler,9c98977,0,2024-12-14 03:37:12,2024-10-29 21:03:47
cli/flags_test.go,89153dd,Matt Joyce,"feat: Add YAML configuration support  Add support for persistent configuration via YAML files. Users can now specify common options in a config file while maintaining the ability to override with CLI flags. Currently supports core options like model, temperature, and pattern settings.  - Add --config flag for specifying YAML config path - Support standard option precedence (CLI > YAML > defaults) - Add type-safe YAML parsing with reflection - Add tests for YAML config functionality",138,141,Eugen Eisler,9c98977,0,2024-12-14 03:37:12,2024-10-29 21:03:47
