File,Commit,Author,Commit Message,Start Line,End Line,Previous Author,Previous Commit,Keyword Label,Commit Date,Previous Commit Date
callbacks/create_test.go,f7ebf04,Jinghao Lu,"fix(create): fix insert column order (#6855)  * fix(create): fix insert column order  * chore: add ConvertToCreateValues ut for Slice case  * fix: remvoe testify dependency  ---------  Co-authored-by: lujinghao <lujinghao@bytedance.com>",1,71,,,1,2024-03-18 05:48:42,
callbacks/helper_test.go,9b9ae32,chenrui,"fix: circular reference save, close #5140  commit 2ac099a37ac7bd74f0a98a6fdc42cc8527404144 Author: Jinzhu <wosmvp@gmail.com> Date:   Thu Mar 17 23:49:21 2022 +0800      Refactor #5140  commit 6e3ca2d1aa09943dcfb5d9a4b93bea28212f71be Author: a631807682 <631807682@qq.com> Date:   Sun Mar 13 12:52:08 2022 +0800      test: add test for LoadOrStoreVisitMap  commit 9d5c68e41000fd15dea124797dd5f2656bf6b304 Author: chenrui <chenrui@jingdaka.com> Date:   Thu Mar 10 20:33:47 2022 +0800      chore: add more comment  commit bfffefb179c883389b72bef8f04469c0a8418043 Author: chenrui <chenrui@jingdaka.com> Date:   Thu Mar 10 20:28:48 2022 +0800      fix: should check values has been saved instead of rel.Name  commit e55cdfa4b3fbcf8b80baf009e8ddb2e40d471494 Author: chenrui <chenrui@jingdaka.com> Date:   Tue Mar 8 17:48:01 2022 +0800      chore: go lint  commit fe4715c5bd4ac28950c97dded9848710d8becb88 Author: chenrui <chenrui@jingdaka.com> Date:   Tue Mar 8 17:27:24 2022 +0800      chore: add test comment  commit 326862f3f8980482a09d7d1a7f4d1011bb8a7c59 Author: chenrui <chenrui@jingdaka.com> Date:   Tue Mar 8 17:22:33 2022 +0800      fix: circular reference save",1,5,,,1,2022-03-17 15:53:31,
callbacks/helper_test.go,52404cd,Chef,"CHORE add unittest test function  ConvertMapToValueForCreate (#6846)  * CHORE add unittest test function  ConvertMapToValueForCreate  * CHORE move the test cases located in the files convert_map_test.go and visit_map_test.go into the file helper_test.go.",6,8,,,0,2024-02-27 02:48:04,
callbacks/helper_test.go,f118e55,Chef,Add unittest test helper function ConvertSliceOfMapToValuesForCreate (#6854),98,157,Chef,52404cd,0,2024-03-05 02:22:57,2024-02-27 02:48:04
callbacks/helper_test.go,9b9ae32,chenrui,"fix: circular reference save, close #5140  commit 2ac099a37ac7bd74f0a98a6fdc42cc8527404144 Author: Jinzhu <wosmvp@gmail.com> Date:   Thu Mar 17 23:49:21 2022 +0800      Refactor #5140  commit 6e3ca2d1aa09943dcfb5d9a4b93bea28212f71be Author: a631807682 <631807682@qq.com> Date:   Sun Mar 13 12:52:08 2022 +0800      test: add test for LoadOrStoreVisitMap  commit 9d5c68e41000fd15dea124797dd5f2656bf6b304 Author: chenrui <chenrui@jingdaka.com> Date:   Thu Mar 10 20:33:47 2022 +0800      chore: add more comment  commit bfffefb179c883389b72bef8f04469c0a8418043 Author: chenrui <chenrui@jingdaka.com> Date:   Thu Mar 10 20:28:48 2022 +0800      fix: should check values has been saved instead of rel.Name  commit e55cdfa4b3fbcf8b80baf009e8ddb2e40d471494 Author: chenrui <chenrui@jingdaka.com> Date:   Tue Mar 8 17:48:01 2022 +0800      chore: go lint  commit fe4715c5bd4ac28950c97dded9848710d8becb88 Author: chenrui <chenrui@jingdaka.com> Date:   Tue Mar 8 17:27:24 2022 +0800      chore: add test comment  commit 326862f3f8980482a09d7d1a7f4d1011bb8a7c59 Author: chenrui <chenrui@jingdaka.com> Date:   Tue Mar 8 17:22:33 2022 +0800      fix: circular reference save",9,39,,,1,2022-03-17 15:53:31,
callbacks/helper_test.go,52404cd,Chef,"CHORE add unittest test function  ConvertMapToValueForCreate (#6846)  * CHORE add unittest test function  ConvertMapToValueForCreate  * CHORE move the test cases located in the files convert_map_test.go and visit_map_test.go into the file helper_test.go.",40,97,,,0,2024-02-27 02:48:04,
callbacks/callmethod.go,e66a059,black-06,"fix: update panic if model is not ptr (#6037)  * fix: update panic if model is not ptr  * fix: update panic if model is not ptr  * fix: update panic if model is not ptr  * fix: raise an error if the value is not addressable  * fix: return",16,21,Jinzhu,26504f5,1,2023-02-18 01:20:29,2020-11-17 08:28:37
callbacks/callmethod.go,26504f5,Jinzhu,Use NewDB to replace WithConditions for Session,10,10,Jinzhu,4009ec5,0,2020-11-17 08:28:37,2020-10-27 10:14:36
callbacks/callmethod.go,1490a06,Jinzhu,Refactor codebase and add benchmark test,1,9,,,0,2020-06-05 15:26:56,
callbacks/callmethod.go,929c0c5,Jinzhu,Test Hooks For Slice,14,14,Jinzhu,1490a06,0,2020-06-30 14:47:21,2020-06-05 15:26:56
callbacks/callmethod.go,1490a06,Jinzhu,Refactor codebase and add benchmark test,12,13,,,0,2020-06-05 15:26:56,
callbacks/callmethod.go,4009ec5,Jinzhu,Fix call hook methods when updating with struct,11,11,Jinzhu,3e4dbde,1,2020-10-27 10:14:36,2020-07-01 11:49:04
callbacks/callmethod.go,1490a06,Jinzhu,Refactor codebase and add benchmark test,15,15,,,0,2020-06-05 15:26:56,
callbacks/callmethod.go,929c0c5,Jinzhu,Test Hooks For Slice,22,22,,,0,2020-06-30 14:47:21,
callbacks/callmethod.go,1490a06,Jinzhu,Refactor codebase and add benchmark test,23,24,,,0,2020-06-05 15:26:56,
callbacks/callmethod.go,1490a06,Jinzhu,Refactor codebase and add benchmark test,30,32,,,0,2020-06-05 15:26:56,
callbacks/callmethod.go,e66a059,black-06,"fix: update panic if model is not ptr (#6037)  * fix: update panic if model is not ptr  * fix: update panic if model is not ptr  * fix: update panic if model is not ptr  * fix: raise an error if the value is not addressable  * fix: return",25,29,Jinzhu,26504f5,1,2023-02-18 01:20:29,2020-11-17 08:28:37
callbacks/interfaces.go,ce8853e,Jinzhu,Add GormValuer interface support,1,39,,,0,2020-08-27 07:03:57,
callbacks/callbacks.go,46b1c85,Jinzhu,Add more clauses,5,5,Jinzhu,728c0d4,0,2020-02-04 00:56:15,2020-02-02 12:05:10
callbacks/callbacks.go,6951be0,Jinzhu,Allow customize clauses,7,13,Jinzhu,deff059,0,2021-04-28 09:19:30,2021-02-07 06:24:11
callbacks/callbacks.go,6951be0,Jinzhu,Allow customize clauses,16,19,Jinzhu,deff059,0,2021-04-28 09:19:30,2021-02-07 06:24:11
callbacks/callbacks.go,8cb15ca,Jinzhu,Improve test structure,6,6,,,0,2020-02-02 00:35:01,
callbacks/callbacks.go,f7f6335,Jinzhu,"Fix tests with mysql, postgres",14,15,Jinzhu,215f5e7,1,2020-03-12 05:05:22,2020-02-22 11:41:01
callbacks/callbacks.go,e986371,Jinzhu,Rename package name,4,4,Jinzhu,1559fe2,0,2020-06-02 01:18:01,2020-06-01 11:41:33
callbacks/callbacks.go,8cb15ca,Jinzhu,Improve test structure,1,2,,,0,2020-02-02 00:35:01,
callbacks/callbacks.go,46b1c85,Jinzhu,Add more clauses,3,3,Jinzhu,728c0d4,0,2020-02-04 00:56:15,2020-02-02 12:05:10
callbacks/callbacks.go,f7f6335,Jinzhu,"Fix tests with mysql, postgres",20,22,Jinzhu,215f5e7,1,2020-03-12 05:05:22,2020-02-22 11:41:01
callbacks/callbacks.go,af3fbdc,Jinzhu,Improve returning support,27,39,Jinzhu,6951be0,0,2021-10-26 14:40:14,2021-04-28 09:19:30
callbacks/callbacks.go,728c0d4,Jinzhu,Add callbacks,23,26,Jinzhu,8cb15ca,0,2020-02-02 12:05:10,2020-02-02 00:35:01
callbacks/callbacks.go,deff059,Jinzhu,"Save associations based on creatable/updatable permission, close #4056",43,43,Jinzhu,70a7bd5,0,2021-02-07 06:24:11,2020-09-10 13:46:18
callbacks/callbacks.go,f7f6335,Jinzhu,"Fix tests with mysql, postgres",44,44,Jinzhu,46b1c85,1,2020-03-12 05:05:22,2020-02-04 00:56:15
callbacks/callbacks.go,728c0d4,Jinzhu,Add callbacks,46,47,,,0,2020-02-02 12:05:10,
callbacks/callbacks.go,728c0d4,Jinzhu,Add callbacks,40,42,,,0,2020-02-02 12:05:10,
callbacks/callbacks.go,deff059,Jinzhu,"Save associations based on creatable/updatable permission, close #4056",45,45,Jinzhu,70a7bd5,0,2021-02-07 06:24:11,2020-09-10 13:46:18
callbacks/callbacks.go,6951be0,Jinzhu,Allow customize clauses,48,48,Jinzhu,deff059,0,2021-04-28 09:19:30,2021-02-07 06:24:11
callbacks/callbacks.go,728c0d4,Jinzhu,Add callbacks,49,50,,,0,2020-02-02 12:05:10,
callbacks/callbacks.go,46b1c85,Jinzhu,Add more clauses,51,51,,,0,2020-02-04 00:56:15,
callbacks/callbacks.go,728c0d4,Jinzhu,Add callbacks,55,58,,,0,2020-02-02 12:05:10,
callbacks/callbacks.go,6951be0,Jinzhu,Allow customize clauses,54,54,Jinzhu,deff059,0,2021-04-28 09:19:30,2021-02-07 06:24:11
callbacks/callbacks.go,835d7bd,Jinzhu,Add returning support to delete,60,60,Jinzhu,af3fbdc,0,2021-10-27 23:56:55,2021-10-26 14:40:14
callbacks/callbacks.go,728c0d4,Jinzhu,Add callbacks,61,62,,,0,2020-02-02 12:05:10,
callbacks/callbacks.go,6951be0,Jinzhu,Allow customize clauses,63,63,Jinzhu,deff059,0,2021-04-28 09:19:30,2021-02-07 06:24:11
callbacks/callbacks.go,728c0d4,Jinzhu,Add callbacks,52,53,,,0,2020-02-02 12:05:10,
callbacks/callbacks.go,728c0d4,Jinzhu,Add callbacks,68,68,,,0,2020-02-02 12:05:10,
callbacks/callbacks.go,728c0d4,Jinzhu,Add callbacks,64,66,,,0,2020-02-02 12:05:10,
callbacks/callbacks.go,af3fbdc,Jinzhu,Improve returning support,70,70,Jinzhu,6951be0,0,2021-10-26 14:40:14,2021-04-28 09:19:30
callbacks/callbacks.go,728c0d4,Jinzhu,Add callbacks,72,73,,,0,2020-02-02 12:05:10,
callbacks/callbacks.go,6951be0,Jinzhu,Allow customize clauses,74,78,Jinzhu,deff059,0,2021-04-28 09:19:30,2021-02-07 06:24:11
callbacks/callbacks.go,6951be0,Jinzhu,Allow customize clauses,80,82,Jinzhu,deff059,0,2021-04-28 09:19:30,2021-02-07 06:24:11
callbacks/callbacks.go,8cb15ca,Jinzhu,Improve test structure,83,83,,,0,2020-02-02 00:35:01,
callbacks/callbacks.go,1559fe2,Jinzhu,Add more updates test,67,67,,,0,2020-06-01 11:41:33,
callbacks/callbacks.go,215f5e7,Jinzhu,"Add Raw, Row, Rows",79,79,,,0,2020-02-22 11:41:01,
callbacks/callbacks.go,70a7bd5,Jinzhu,Support delete associations with Select when deleting,59,59,,,0,2020-09-10 13:46:18,
callbacks/callbacks.go,deff059,Jinzhu,"Save associations based on creatable/updatable permission, close #4056",69,69,,,0,2021-02-07 06:24:11,
