File,Commit,Author,Commit Message,Start Line,End Line,Previous Author,Previous Commit,Keyword Label,Commit Date,Previous Commit Date
assets/author.ico,7de073e,Corey Butler,combined updates,1,1,,,0,2024-12-29 04:23:51,
assets/alert.ico,7de073e,Corey Butler,combined updates,1,1,,,0,2024-12-29 04:23:51,
assets/download.ico,7de073e,Corey Butler,combined updates,1,1,,,0,2024-12-29 04:23:51,
assets/elevate.cmd,9e48a87,Corey Butler,Added helper scripts and icon,10,12,,,0,2014-10-02 22:48:07,
assets/elevate.cmd,9e48a87,Corey Butler,Added helper scripts and icon,1,2,,,0,2014-10-02 22:48:07,
assets/elevate.cmd,dc918c4,Ron Buckton,"Do not elevate unless necessary  This changes `elevate.cmd` to first try to execute the requested command *without* elevation. If the command failed (i.e., `ERRORLEVEL` was non-zero), then retry the command with elevation.  Fixes #510",3,9,,,0,2020-02-11 19:57:24,
assets/buildtools/Default.isl,ec0e731,Corey Butler,Added build script,5,44,,,0,2014-10-04 17:50:56,
assets/buildtools/Default.isl,ec0e731,Corey Butler,Added build script,2,3,,,0,2014-10-04 17:50:56,
assets/buildtools/Default.isl,83562b3,taaem,Fix Buildtools for 64bit systems by updating binaries,4,4,,,1,2021-02-12 11:59:33,
assets/buildtools/Default.isl,ec0e731,Corey Butler,Added build script,59,65,,,0,2014-10-04 17:50:56,
assets/buildtools/Default.isl,ec0e731,Corey Butler,Added build script,46,58,,,0,2014-10-04 17:50:56,
assets/buildtools/Default.isl,83562b3,taaem,Fix Buildtools for 64bit systems by updating binaries,1,1,,,1,2021-02-12 11:59:33,
assets/buildtools/Default.isl,83562b3,taaem,Fix Buildtools for 64bit systems by updating binaries,45,45,,,1,2021-02-12 11:59:33,
assets/buildtools/Default.isl,83562b3,taaem,Fix Buildtools for 64bit systems by updating binaries,66,75,,,1,2021-02-12 11:59:33,
assets/buildtools/Default.isl,ec0e731,Corey Butler,Added build script,76,105,,,0,2014-10-04 17:50:56,
assets/buildtools/Default.isl,83562b3,taaem,Fix Buildtools for 64bit systems by updating binaries,106,106,,,1,2021-02-12 11:59:33,
assets/buildtools/Default.isl,ec0e731,Corey Butler,Added build script,107,153,,,0,2014-10-04 17:50:56,
assets/buildtools/Default.isl,83562b3,taaem,Fix Buildtools for 64bit systems by updating binaries,182,182,,,1,2021-02-12 11:59:33,
assets/buildtools/Default.isl,ec0e731,Corey Butler,Added build script,183,212,,,0,2014-10-04 17:50:56,
assets/buildtools/Default.isl,83562b3,taaem,Fix Buildtools for 64bit systems by updating binaries,213,224,,,1,2021-02-12 11:59:33,
assets/buildtools/Default.isl,ec0e731,Corey Butler,Added build script,155,181,,,0,2014-10-04 17:50:56,
assets/buildtools/Default.isl,83562b3,taaem,Fix Buildtools for 64bit systems by updating binaries,154,154,,,1,2021-02-12 11:59:33,
assets/buildtools/Default.isl,ec0e731,Corey Butler,Added build script,225,234,,,0,2014-10-04 17:50:56,
assets/buildtools/Default.isl,ec0e731,Corey Butler,Added build script,236,243,,,0,2014-10-04 17:50:56,
assets/buildtools/Default.isl,83562b3,taaem,Fix Buildtools for 64bit systems by updating binaries,235,235,,,1,2021-02-12 11:59:33,
assets/buildtools/Default.isl,438ac25,Corey Butler,Updated build process. Added code signing and MD5 checksums for distro files.,244,244,,,0,2018-08-08 05:49:24,
assets/buildtools/Default.isl,ec0e731,Corey Butler,Added build script,245,264,,,0,2014-10-04 17:50:56,
assets/buildtools/Default.isl,83562b3,taaem,Fix Buildtools for 64bit systems by updating binaries,265,268,,,1,2021-02-12 11:59:33,
assets/buildtools/Default.isl,ec0e731,Corey Butler,Added build script,269,298,,,0,2014-10-04 17:50:56,
assets/buildtools/Default.isl,83562b3,taaem,Fix Buildtools for 64bit systems by updating binaries,299,300,,,1,2021-02-12 11:59:33,
assets/buildtools/Default.isl,83562b3,taaem,Fix Buildtools for 64bit systems by updating binaries,303,305,,,1,2021-02-12 11:59:33,
assets/buildtools/Default.isl,ec0e731,Corey Butler,Added build script,301,302,,,0,2014-10-04 17:50:56,
assets/buildtools/Default.isl,ec0e731,Corey Butler,Added build script,306,306,,,0,2014-10-04 17:50:56,
assets/buildtools/Default.isl,ec0e731,Corey Butler,Added build script,317,327,,,0,2014-10-04 17:50:56,
assets/buildtools/Default.isl,83562b3,taaem,Fix Buildtools for 64bit systems by updating binaries,307,316,,,1,2021-02-12 11:59:33,
assets/buildtools/Default.isl,83562b3,taaem,Fix Buildtools for 64bit systems by updating binaries,328,337,,,1,2021-02-12 11:59:33,
assets/buildtools/Default.isl,ec0e731,Corey Butler,Added build script,377,384,,,0,2014-10-04 17:50:56,
assets/buildtools/Default.isl,438ac25,Corey Butler,Updated build process. Added code signing and MD5 checksums for distro files.,374,376,,,0,2018-08-08 05:49:24,
assets/buildtools/Default.isl,ec0e731,Corey Butler,Added build script,338,373,,,0,2014-10-04 17:50:56,
assets/elevate.vbs,9e48a87,Corey Butler,Added helper scripts and icon,1,13,,,0,2014-10-02 22:48:07,
assets/nvm.ico,7de073e,Corey Butler,combined updates,1,1,,,0,2024-12-29 04:23:51,
assets/nodejs.ico,9e48a87,Corey Butler,Added helper scripts and icon,1,1,,,0,2014-10-02 22:48:07,
assets/install.cmd,36c592d,Corey Butler,"Added a manual installer, courtesy @heri16. Closes #20.",1,1,,,0,2014-11-18 19:51:43,
assets/install.cmd,a175c59,tomisawk,"Set environment variables for current process  setx command doesn't affect current process, so use also 'set VAR=VALUE'",3,6,,,0,2018-05-16 13:42:15,
assets/install.cmd,0a1f322,Dawid Gosławski,Define that NVM_PATH is for nvm,2,2,,,0,2019-06-26 08:13:34,
assets/install.cmd,238992a,tomisawk,"Avoid mixing user-environment PATH and system-environment PATH  %PATH% expands to the system plus the user variables, so if user defined user-environment PATH, 'setx /M PATH ""%PATH%;...""' mixes user-environment PATH and system-environment PATH.",7,7,,,0,2018-05-16 13:56:29,
assets/install.cmd,238992a,tomisawk,"Avoid mixing user-environment PATH and system-environment PATH  %PATH% expands to the system plus the user variables, so if user defined user-environment PATH, 'setx /M PATH ""%PATH%;...""' mixes user-environment PATH and system-environment PATH.",10,12,,,0,2018-05-16 13:56:29,
assets/install.cmd,36c592d,Corey Butler,"Added a manual installer, courtesy @heri16. Closes #20.",13,22,,,0,2014-11-18 19:51:43,
assets/install.cmd,ec5ebc1,coreybutler,Backup PATH env variable to file (precautionary). Fixes #662,9,9,,,0,2021-09-11 03:44:18,
assets/install.cmd,4035e4a,David Byrne,"Fix install.cmd PATH bug  If the PATH environment variable has parentheses, `(echo PATH=%PATH%)` will fail, but the parentheses don't seem to be needed.",8,8,,,1,2023-01-18 18:19:47,
build.js,6863618,Corey Butler,add a local build tool,1,48,,,0,2024-12-30 22:24:29,
assets/buildtools/ISPPBuiltins.iss,83562b3,taaem,Fix Buildtools for 64bit systems by updating binaries,17,21,,,1,2021-02-12 11:59:33,
assets/buildtools/ISPPBuiltins.iss,83562b3,taaem,Fix Buildtools for 64bit systems by updating binaries,1,1,,,1,2021-02-12 11:59:33,
assets/buildtools/ISPPBuiltins.iss,83562b3,taaem,Fix Buildtools for 64bit systems by updating binaries,3,5,,,1,2021-02-12 11:59:33,
assets/buildtools/ISPPBuiltins.iss,438ac25,Corey Butler,Updated build process. Added code signing and MD5 checksums for distro files.,6,6,,,0,2018-08-08 05:49:24,
assets/buildtools/ISPPBuiltins.iss,83562b3,taaem,Fix Buildtools for 64bit systems by updating binaries,7,7,,,1,2021-02-12 11:59:33,
assets/buildtools/ISPPBuiltins.iss,438ac25,Corey Butler,Updated build process. Added code signing and MD5 checksums for distro files.,22,22,,,0,2018-08-08 05:49:24,
assets/buildtools/ISPPBuiltins.iss,438ac25,Corey Butler,Updated build process. Added code signing and MD5 checksums for distro files.,2,2,,,0,2018-08-08 05:49:24,
assets/buildtools/ISPPBuiltins.iss,438ac25,Corey Butler,Updated build process. Added code signing and MD5 checksums for distro files.,8,16,,,0,2018-08-08 05:49:24,
assets/buildtools/ISPPBuiltins.iss,83562b3,taaem,Fix Buildtools for 64bit systems by updating binaries,39,42,,,1,2021-02-12 11:59:33,
assets/buildtools/ISPPBuiltins.iss,438ac25,Corey Butler,Updated build process. Added code signing and MD5 checksums for distro files.,33,33,,,0,2018-08-08 05:49:24,
assets/buildtools/ISPPBuiltins.iss,438ac25,Corey Butler,Updated build process. Added code signing and MD5 checksums for distro files.,35,38,,,0,2018-08-08 05:49:24,
