File,Commit,Author,Commit Message,Start Line,End Line,Previous Author,Previous Commit,Keyword Label,Commit Date,Previous Commit Date
EventBus/src/org/greenrobot/eventbus/android/AndroidDependenciesDetector.java,21c6b56,Andrei Dobrescu,refactorings,30,30,Andrei Dobrescu,b8a44d8,0,2021-05-10 15:59:12,2021-05-10 15:01:06
EventBus/src/org/greenrobot/eventbus/android/AndroidDependenciesDetector.java,b8a44d8,Andrei Dobrescu,android sdk proxy implementation,1,24,,,0,2021-05-10 15:01:06,
EventBus/src/org/greenrobot/eventbus/android/AndroidDependenciesDetector.java,21c6b56,Andrei Dobrescu,refactorings,38,38,Andrei Dobrescu,b8a44d8,0,2021-05-10 15:59:12,2021-05-10 15:01:06
EventBus/src/org/greenrobot/eventbus/android/AndroidDependenciesDetector.java,b8a44d8,Andrei Dobrescu,android sdk proxy implementation,28,29,,,0,2021-05-10 15:01:06,
EventBus/src/org/greenrobot/eventbus/android/AndroidDependenciesDetector.java,21c6b56,Andrei Dobrescu,refactorings,41,42,Andrei Dobrescu,b8a44d8,0,2021-05-10 15:59:12,2021-05-10 15:01:06
EventBus/src/org/greenrobot/eventbus/android/AndroidDependenciesDetector.java,21c6b56,Andrei Dobrescu,refactorings,25,27,Andrei Dobrescu,b8a44d8,0,2021-05-10 15:59:12,2021-05-10 15:01:06
EventBus/src/org/greenrobot/eventbus/android/AndroidDependenciesDetector.java,b8a44d8,Andrei Dobrescu,android sdk proxy implementation,31,37,,,0,2021-05-10 15:01:06,
EventBus/src/org/greenrobot/eventbus/android/AndroidDependenciesDetector.java,b8a44d8,Andrei Dobrescu,android sdk proxy implementation,39,40,,,0,2021-05-10 15:01:06,
EventBus/src/org/greenrobot/eventbus/android/AndroidDependenciesDetector.java,b8a44d8,Andrei Dobrescu,android sdk proxy implementation,43,48,,,0,2021-05-10 15:01:06,
EventBus/src/org/greenrobot/eventbus/android/AndroidComponents.java,21c6b56,Andrei Dobrescu,refactorings,3,3,,,0,2021-05-10 15:59:12,
EventBus/src/org/greenrobot/eventbus/android/AndroidComponents.java,21c6b56,Andrei Dobrescu,refactorings,12,12,,,0,2021-05-10 15:59:12,
