File,Commit,Author,Commit Message,Start Line,End Line,Previous Author,Previous Commit,Keyword Label,Commit Date,Previous Commit Date
build.gradle,6424933,Arve Skogvold,Include Gradle config closes #230  Because maintaining two build systems is better than one.,1,29,,,0,2015-10-30 12:42:30,
gradle/wrapper/gradle-wrapper.jar,6424933,Arve Skogvold,Include Gradle config closes #230  Because maintaining two build systems is better than one.,1,309,,,0,2015-10-30 12:42:30,
gradle/wrapper/gradle-wrapper.properties,6424933,Arve Skogvold,Include Gradle config closes #230  Because maintaining two build systems is better than one.,1,6,,,0,2015-10-30 12:42:30,
gradlew,6424933,Arve Skogvold,Include Gradle config closes #230  Because maintaining two build systems is better than one.,1,160,,,0,2015-10-30 12:42:30,
gradlew.bat,6424933,Arve Skogvold,Include Gradle config closes #230  Because maintaining two build systems is better than one.,1,90,,,0,2015-10-30 12:42:30,
resources/assets/configuration/spring/dependencyinjection/configuration/spring.xml,2c3bab7,emiln,Installed spring and restructured for dependency injection.,1,13,,,0,2015-03-21 20:47:29,
settings.gradle,6424933,Arve Skogvold,Include Gradle config closes #230  Because maintaining two build systems is better than one.,1,1,,,0,2015-10-30 12:42:30,
src/main/java/com/seriouscompany/business/java/fizzbuzz/packagenamingpackage/impl/Constants.java,f7bba7c,Vojtech Krasa,"Code style issues - explicit super() call, introduced constants from magic strings, moved constants to one place.",1,2,,,0,2016-07-25 13:34:50,
src/main/java/com/seriouscompany/business/java/fizzbuzz/packagenamingpackage/impl/Constants.java,c615ac6,Emily Curtin,Touchups after pulling updates from main branch. Added javadoc comments to most interface declarations.,3,5,rr-,22f391c,0,2017-03-02 21:29:00,2016-09-01 11:56:28
src/main/java/com/seriouscompany/business/java/fizzbuzz/packagenamingpackage/impl/Constants.java,f7bba7c,Vojtech Krasa,"Code style issues - explicit super() call, introduced constants from magic strings, moved constants to one place.",6,21,,,0,2016-07-25 13:34:50,
src/main/java/com/seriouscompany/business/java/fizzbuzz/packagenamingpackage/impl/Constants.java,f7bba7c,Vojtech Krasa,"Code style issues - explicit super() call, introduced constants from magic strings, moved constants to one place.",23,23,,,0,2016-07-25 13:34:50,
src/main/java/com/seriouscompany/business/java/fizzbuzz/packagenamingpackage/impl/Constants.java,22f391c,rr-,Fix whitespace  - Added missing newline near ending class braces - Added missing newline near opening class braces - Removed trailing tabs - Removed trailing newlines - Changed Allman brace style to K&R,22,22,,,1,2016-09-01 11:56:28,
pom.xml,2c3bab7,emiln,Installed spring and restructured for dependency injection.,24,25,stevepeak,a37df04,0,2015-03-21 20:47:29,2014-10-03 15:43:41
pom.xml,dbd5a3a,Kristian Perkins,updated to use corporate url in the pom,11,11,Thomas Rooney,4a8639e,0,2015-10-19 05:46:22,2015-05-19 18:25:21
pom.xml,5e14a9c,mattn,Add maven project,12,18,,,0,2013-03-19 11:09:51,
pom.xml,5e14a9c,mattn,Add maven project,23,23,,,0,2013-03-19 11:09:51,
pom.xml,5e14a9c,mattn,Add maven project,1,10,,,0,2013-03-19 11:09:51,
