File,Commit,Author,Commit Message,Start Line,End Line,Previous Author,Previous Commit,Keyword Label,Commit Date,Previous Commit Date
gradlew.bat,f24df17,Jake Wharton,Overhaul build  Just enough to get GitHub Actions working and somewhat modernizing the rest. Didn't do too much because this project is not actively developed.,1,89,Goooler,92a63a4,0,2022-11-09 02:34:39,2021-08-26 03:09:53
gradle/wrapper/gradle-wrapper.properties,e42bb5a,Ben Christensen,Upgrade to Nebula Build,1,2,,,0,2014-08-29 22:44:36,
gradle/wrapper/gradle-wrapper.properties,92a63a4,Goooler,Update gradle 6.9.1,3,3,Abrar Wiryawan,6ae7453,0,2021-08-26 03:09:53,2021-08-10 13:20:12
gradle/wrapper/gradle-wrapper.properties,e42bb5a,Ben Christensen,Upgrade to Nebula Build,4,5,,,0,2014-08-29 22:44:36,
LICENSE,e42bb5a,Ben Christensen,Upgrade to Nebula Build,1,189,,,0,2014-08-29 22:44:36,
LICENSE,e42bb5a,Ben Christensen,Upgrade to Nebula Build,190,200,,,0,2014-08-29 22:44:36,
rxandroid/src/main/AndroidManifest.xml,32ae9fc,Dan Lew,"Use Android build system, generate AARs  Also updated to latest & greatest dependencies while I was at it.",1,14,,,0,2015-06-30 19:02:11,
rxandroid/src/main/AndroidManifest.xml,64055e2,Drew Hamilton,Update to RxJava 3,15,15,Jake Wharton,b403cdf,0,2019-09-06 03:36:34,2016-08-08 04:56:34
gradle.properties,f24df17,Jake Wharton,Overhaul build  Just enough to get GitHub Actions working and somewhat modernizing the rest. Didn't do too much because this project is not actively developed.,3,10,Goooler,f1ddbcb,0,2022-11-09 02:34:39,2021-01-07 17:40:59
gradle.properties,3498cd7,Jake Wharton,Prepare next development version,12,12,Jake Wharton,65c6bbe,0,2022-11-09 20:03:55,2022-11-09 20:03:12
gradle.properties,f1ddbcb,Goooler,Build system and dependency updates,1,2,Jake Wharton,faadd21,0,2021-01-07 17:40:59,2020-02-14 15:27:29
gradle.properties,f24df17,Jake Wharton,Overhaul build  Just enough to get GitHub Actions working and somewhat modernizing the rest. Didn't do too much because this project is not actively developed.,23,23,Goooler,f1ddbcb,0,2022-11-09 02:34:39,2021-01-07 17:40:59
gradle.properties,4a5dc7b,Dan Lew,Setup publishing via bintray,14,14,Dan Lew,32ae9fc,0,2015-07-31 19:22:01,2015-06-30 19:02:11
