File,Commit,Author,Commit Message,Start Line,End Line,Previous Author,Previous Commit,Keyword Label,Commit Date,Previous Commit Date
butterknife/gradle.properties,05eae6d,Michael Evans,"Convert build from Maven to Gradle, split into separate artifacts.",1,3,,,0,2015-09-26 03:41:19,
butterknife/src/main/AndroidManifest.xml,05eae6d,Michael Evans,"Convert build from Maven to Gradle, split into separate artifacts.",1,2,,,0,2015-09-26 03:41:19,
butterknife-annotations/gradle.properties,2925dd8,Jake Wharton,Deploy annotations module.,1,3,,,0,2015-10-10 07:04:28,
butterknife/src/main/java/butterknife/package-info.java,ceef790,Jake Wharton,Documentation improvements all around.,4,6,,,0,2014-04-15 06:11:17,
butterknife/src/main/java/butterknife/package-info.java,0896401,Jake Wharton,"Combine BindView and BindViews into a single annotation, Bind.",8,8,Jake Wharton,0ffaf1f,0,2015-06-28 02:00:11,2015-06-27 23:50:27
butterknife/src/main/java/butterknife/package-info.java,ceef790,Jake Wharton,Documentation improvements all around.,1,1,,,0,2014-04-15 06:11:17,
butterknife/src/main/java/butterknife/package-info.java,ceef790,Jake Wharton,Documentation improvements all around.,9,10,,,0,2014-04-15 06:11:17,
butterknife/src/main/java/butterknife/package-info.java,ceef790,Jake Wharton,Documentation improvements all around.,12,14,,,0,2014-04-15 06:11:17,
butterknife/src/main/java/butterknife/package-info.java,959e4ba,Jake Wharton,Rename @Bind to @BindView to match others.,7,7,Jake Wharton,0896401,0,2016-04-23 07:46:57,2015-06-28 02:00:11
butterknife/src/main/java/butterknife/package-info.java,ec778ad,Jake Wharton,Change verb from 'inject' to 'bind'.  * InjectView becomes FindView * InjectViews becomes FindViews * ButterKnife.inject() becomes ButterKnife.bind() * ButterKnife.reset() becomes ButterKnife.unbind() * Previously deprecated Nullable annotation is removed.,2,3,Jake Wharton,244a9e7,0,2015-03-15 00:06:02,2014-04-19 05:25:44
butterknife/src/main/java/butterknife/package-info.java,0896401,Jake Wharton,"Combine BindView and BindViews into a single annotation, Bind.",11,11,Jake Wharton,0ffaf1f,0,2015-06-28 02:00:11,2015-06-27 23:50:27
butterknife-annotations/build.gradle,05eae6d,Michael Evans,"Convert build from Maven to Gradle, split into separate artifacts.",6,11,,,0,2015-09-26 03:41:19,
butterknife-annotations/build.gradle,05eae6d,Michael Evans,"Convert build from Maven to Gradle, split into separate artifacts.",2,3,,,0,2015-09-26 03:41:19,
butterknife-annotations/build.gradle,dfff573,John Rodriguez,Update to AGP 3.0.0a8,1,1,Jake Wharton,dbca571,0,2017-07-28 17:23:19,2017-06-02 19:11:15
butterknife-annotations/build.gradle,01e4e4e,Jake Wharton,Remove legacy support,14,14,Jake Wharton,0efcf39,0,2019-01-04 00:15:29,2018-10-10 21:27:34
butterknife-annotations/build.gradle,05eae6d,Michael Evans,"Convert build from Maven to Gradle, split into separate artifacts.",12,12,,,0,2015-09-26 03:41:19,
butterknife-annotations/build.gradle,0efcf39,Jake Wharton,Make all artifacts use Java 8 bytecode,4,5,John Rodriguez,dfff573,0,2018-10-10 21:27:34,2017-07-28 17:23:19
butterknife-annotations/build.gradle,05eae6d,Michael Evans,"Convert build from Maven to Gradle, split into separate artifacts.",15,15,,,0,2015-09-26 03:41:19,
butterknife-annotations/build.gradle,0b2c1aa,Jake Wharton,Update build stuff to modern style.,13,13,Gautam Korlam,20aad6c,0,2017-05-08 18:41:11,2016-06-19 19:32:42
butterknife-annotations/build.gradle,2925dd8,Jake Wharton,Deploy annotations module.,16,17,,,0,2015-10-10 07:04:28,
butterknife-annotations/src/main/java/butterknife/BindAnim.java,5184ea1,Marcel Schnelle,Added support for binding animation resources,4,7,Jake Wharton,348f457,0,2017-07-02 19:18:54,2015-10-09 23:07:21
butterknife-annotations/src/main/java/butterknife/BindAnim.java,01e4e4e,Jake Wharton,Remove legacy support,3,3,Jake Wharton,de32331,0,2019-01-04 00:15:29,2018-09-07 04:38:40
