File,Commit,Author,Commit Message,Start Line,End Line,Previous Author,Previous Commit,Keyword Label,Commit Date,Previous Commit Date
Gemfile,e87f1b5,f,fix ui,1,4,,,1,2025-01-05 13:58:24,
CNAME,1b96edb,Fatih Kadir Akın,Create CNAME,1,1,,,0,2022-12-10 18:41:59,
scripts/find-prompt,3ee3610,Joshua Aresty,find-prompt now takes an argument and also only prints the prompt in the output,3,3,Joshua Aresty,19990c8,0,2023-10-17 01:46:39,2023-10-16 03:46:03
scripts/find-prompt,eab7244,Joshua Aresty,Add helper script to search for a prompt by name,1,2,,,0,2023-10-16 03:43:05,
_config.yml,4d388ec,Mike-FreeAI,Add dark mode and publish to GitHub Pages using GitHub Actions,4,4,Fatih Kadir Akın,591199f,0,2024-07-08 09:30:42,2022-12-14 11:43:33
_config.yml,53da3c5,f,add vibes,1,3,Mike-FreeAI,4d388ec,0,2025-03-16 00:26:21,2024-07-08 09:30:42
_config.yml,4d388ec,Mike-FreeAI,Add dark mode and publish to GitHub Pages using GitHub Actions,5,5,Fatih Kadir Akın,591199f,0,2024-07-08 09:30:42,2022-12-14 11:43:33
_config.yml,53da3c5,f,add vibes,6,7,Mike-FreeAI,4d388ec,0,2025-03-16 00:26:21,2024-07-08 09:30:42
LICENSE,980e43e,Fatih Kadir Akın,Initial commit,1,121,,,0,2022-12-05 13:54:13,
vibe/script.js,53da3c5,f,add vibes,84,84,,,0,2025-03-16 00:26:21,
vibe/script.js,53da3c5,f,add vibes,87,88,,,0,2025-03-16 00:26:21,
vibe/script.js,53da3c5,f,add vibes,85,85,,,0,2025-03-16 00:26:21,
vibe/script.js,53da3c5,f,add vibes,1,47,,,0,2025-03-16 00:26:21,
vibe/script.js,d5ae572,f,add vibes,86,86,f,53da3c5,0,2025-03-16 00:35:11,2025-03-16 00:26:21
vibe/script.js,d5ae572,f,add vibes,48,57,f,53da3c5,0,2025-03-16 00:35:11,2025-03-16 00:26:21
vibe/script.js,d5ae572,f,add vibes,59,83,f,53da3c5,0,2025-03-16 00:35:11,2025-03-16 00:26:21
vibe/script.js,53da3c5,f,add vibes,58,58,,,0,2025-03-16 00:26:21,
vibe/script.js,29436b0,f,/vibe code examples,192,193,f,b9f3c80,0,2025-03-18 12:26:30,2025-03-18 12:19:52
vibe/script.js,53da3c5,f,add vibes,194,213,,,0,2025-03-16 00:26:21,
vibe/script.js,53da3c5,f,add vibes,90,191,,,0,2025-03-16 00:26:21,
vibe/script.js,d5ae572,f,add vibes,89,89,f,53da3c5,0,2025-03-16 00:35:11,2025-03-16 00:26:21
vibe/script.js,19f019e,f,/vibe,255,255,f,088bf50,0,2025-03-16 19:51:24,2025-03-16 01:28:21
vibe/script.js,53da3c5,f,add vibes,217,254,,,0,2025-03-16 00:26:21,
vibe/script.js,53da3c5,f,add vibes,256,258,,,0,2025-03-16 00:26:21,
vibe/script.js,38ba9af,f,/vibe code examples,214,216,f,29436b0,0,2025-03-18 12:27:14,2025-03-18 12:26:30
vibe/script.js,19f019e,f,/vibe,259,259,f,088bf50,0,2025-03-16 19:51:24,2025-03-16 01:28:21
vibe/script.js,52bed5b,f,/vibe code -> fix scroll,360,366,f,19f019e,1,2025-03-18 12:15:02,2025-03-16 19:51:24
vibe/script.js,b9f3c80,f,/vibe code -> fix scroll,384,392,f,52bed5b,1,2025-03-18 12:19:52,2025-03-18 12:15:02
vibe/script.js,53da3c5,f,add vibes,260,357,,,0,2025-03-16 00:26:21,
vibe/script.js,53da3c5,f,add vibes,393,424,,,0,2025-03-16 00:26:21,
vibe/script.js,b9f3c80,f,/vibe code -> fix scroll,359,359,f,52bed5b,1,2025-03-18 12:19:52,2025-03-18 12:15:02
vibe/script.js,52bed5b,f,/vibe code -> fix scroll,358,358,f,19f019e,1,2025-03-18 12:15:02,2025-03-16 19:51:24
vibe/script.js,53da3c5,f,add vibes,367,383,,,0,2025-03-16 00:26:21,
style.css,19f019e,f,/vibe,298,305,f,53da3c5,0,2025-03-16 19:51:24,2025-03-16 00:26:21
style.css,0f7c3a2,f,/vibe code,306,306,f,19f019e,0,2025-03-16 19:57:51,2025-03-16 19:51:24
style.css,53da3c5,f,add vibes,1,28,,,0,2025-03-16 00:26:21,
style.css,3132b34,Fatih Kadir Akın,updatr,544,663,f,0f7c3a2,0,2025-04-23 02:27:18,2025-03-16 19:57:51
style.css,53da3c5,f,add vibes,307,543,,,0,2025-03-16 00:26:21,
style.css,53da3c5,f,add vibes,664,1245,,,0,2025-03-16 00:26:21,
style.css,53da3c5,f,add vibes,36,297,,,0,2025-03-16 00:26:21,
style.css,0f7c3a2,f,/vibe code,29,35,f,19f019e,0,2025-03-16 19:57:51,2025-03-16 19:51:24
style.css,53da3c5,f,add vibes,1262,1266,,,0,2025-03-16 00:26:21,
style.css,3132b34,Fatih Kadir Akın,updatr,1246,1246,f,0f7c3a2,0,2025-04-23 02:27:18,2025-03-16 19:57:51
style.css,53da3c5,f,add vibes,1251,1252,,,0,2025-03-16 00:26:21,
style.css,3132b34,Fatih Kadir Akın,updatr,1253,1253,f,0f7c3a2,0,2025-04-23 02:27:18,2025-03-16 19:57:51
style.css,3132b34,Fatih Kadir Akın,updatr,1250,1250,f,0f7c3a2,0,2025-04-23 02:27:18,2025-03-16 19:57:51
style.css,53da3c5,f,add vibes,1254,1257,,,0,2025-03-16 00:26:21,
style.css,53da3c5,f,add vibes,1247,1249,,,0,2025-03-16 00:26:21,
