File,Commit,Author,Commit Message,Start Line,End Line,Previous Author,Previous Commit,Keyword Label,Commit Date,Previous Commit Date
eslint.config.js,161e01f,typicode,chore: update linter,1,11,,,0,2024-08-19 13:02:55,
public/test.html,d030702,typicode,fix: public,1,1,,,1,2024-01-26 16:29:44,
fixtures/db.json,af73a69,typicode,update fixtures,1,13,,,0,2024-01-11 06:49:52,
LICENSE,35de1af,JaN0h4ck,fix: Encoding Issue in LICENSE (#1507),23,23,typicode,ef141aa,1,2024-01-30 13:02:57,2024-01-02 01:44:13
LICENSE,ef141aa,typicode,V1 (#1468),1,22,Werner Veldsman,014b22f,0,2024-01-02 01:44:13,2015-11-23 09:45:09
LICENSE,ef141aa,typicode,V1 (#1468),24,44,Werner Veldsman,014b22f,0,2024-01-02 01:44:13,2015-11-23 09:45:09
fixtures/db.json5,ef141aa,typicode,V1 (#1468),1,23,,,0,2024-01-02 01:44:13,
fixtures/db.json5,ef141aa,typicode,V1 (#1468),27,27,,,0,2024-01-02 01:44:13,
fixtures/db.json5,af73a69,typicode,update fixtures,24,26,typicode,ef141aa,0,2024-01-11 06:49:52,2024-01-02 01:44:13
src/observer.ts,ef141aa,typicode,V1 (#1468),1,9,,,0,2024-01-02 01:44:13,
src/observer.ts,ac42825,typicode,feat: better cli output,10,10,typicode,ef141aa,0,2024-01-07 01:17:43,2024-01-02 01:44:13
src/observer.ts,ef141aa,typicode,V1 (#1468),11,26,,,0,2024-01-02 01:44:13,
src/observer.ts,ef141aa,typicode,V1 (#1468),28,36,,,0,2024-01-02 01:44:13,
src/observer.ts,ac42825,typicode,feat: better cli output,27,27,typicode,ef141aa,0,2024-01-07 01:17:43,2024-01-02 01:44:13
tsconfig.json,ef141aa,typicode,V1 (#1468),1,2,,,0,2024-01-02 01:44:13,
tsconfig.json,ef141aa,typicode,V1 (#1468),4,4,,,0,2024-01-02 01:44:13,
tsconfig.json,ef141aa,typicode,V1 (#1468),6,6,,,0,2024-01-02 01:44:13,
tsconfig.json,b013232,typicode,chore: exclude test files from the build output,7,7,typicode,ef141aa,0,2024-01-09 12:36:37,2024-01-02 01:44:13
tsconfig.json,b013232,typicode,chore: exclude test files from the build output,3,3,typicode,ef141aa,0,2024-01-09 12:36:37,2024-01-02 01:44:13
tsconfig.json,b013232,typicode,chore: exclude test files from the build output,5,5,typicode,ef141aa,0,2024-01-09 12:36:37,2024-01-02 01:44:13
src/app.test.ts,ef141aa,typicode,V1 (#1468),1,13,,,0,2024-01-02 01:44:13,
src/app.test.ts,b985487,typicode,feat: add object support,41,41,typicode,ef141aa,0,2024-01-05 00:55:49,2024-01-02 01:44:13
src/app.test.ts,780e246,typicode,Update deps and allow any header in CORS (#1611),14,14,typicode,d030702,0,2024-09-24 10:27:38,2024-01-26 16:29:44
src/app.test.ts,ef141aa,typicode,V1 (#1468),42,56,,,0,2024-01-02 01:44:13,
src/app.test.ts,a4dda8e,typicode,fix: _embed param,60,60,typicode,b985487,1,2024-01-12 00:09:16,2024-01-05 00:55:49
src/app.test.ts,ef141aa,typicode,V1 (#1468),15,40,,,0,2024-01-02 01:44:13,
src/app.test.ts,a4dda8e,typicode,fix: _embed param,57,57,typicode,b985487,1,2024-01-12 00:09:16,2024-01-05 00:55:49
src/app.test.ts,ef141aa,typicode,V1 (#1468),58,59,,,0,2024-01-02 01:44:13,
src/app.test.ts,ef141aa,typicode,V1 (#1468),61,63,,,0,2024-01-02 01:44:13,
src/app.test.ts,ef141aa,typicode,V1 (#1468),71,77,,,0,2024-01-02 01:44:13,
src/app.test.ts,a4dda8e,typicode,fix: _embed param,81,81,typicode,b985487,1,2024-01-12 00:09:16,2024-01-05 00:55:49
src/app.test.ts,d030702,typicode,fix: public,70,70,typicode,a4dda8e,1,2024-01-26 16:29:44,2024-01-12 00:09:16
src/app.test.ts,a4dda8e,typicode,fix: _embed param,78,78,typicode,b985487,1,2024-01-12 00:09:16,2024-01-05 00:55:49
src/app.test.ts,ef141aa,typicode,V1 (#1468),79,80,,,0,2024-01-02 01:44:13,
src/app.test.ts,b985487,typicode,feat: add object support,64,65,typicode,ef141aa,0,2024-01-05 00:55:49,2024-01-02 01:44:13
src/app.test.ts,ef141aa,typicode,V1 (#1468),66,69,,,0,2024-01-02 01:44:13,
src/app.test.ts,ef141aa,typicode,V1 (#1468),82,83,,,0,2024-01-02 01:44:13,
src/app.test.ts,b985487,typicode,feat: add object support,84,85,typicode,ef141aa,0,2024-01-05 00:55:49,2024-01-02 01:44:13
src/app.test.ts,b985487,typicode,feat: add object support,91,92,typicode,ef141aa,0,2024-01-05 00:55:49,2024-01-02 01:44:13
src/app.test.ts,ef141aa,typicode,V1 (#1468),86,90,,,0,2024-01-02 01:44:13,
src/app.test.ts,ef141aa,typicode,V1 (#1468),93,96,,,0,2024-01-02 01:44:13,
src/app.test.ts,b985487,typicode,feat: add object support,97,98,typicode,ef141aa,0,2024-01-05 00:55:49,2024-01-02 01:44:13
src/app.test.ts,ef141aa,typicode,V1 (#1468),99,103,,,0,2024-01-02 01:44:13,
src/app.test.ts,b985487,typicode,feat: add object support,104,105,typicode,ef141aa,0,2024-01-05 00:55:49,2024-01-02 01:44:13
src/app.test.ts,ef141aa,typicode,V1 (#1468),106,110,,,0,2024-01-02 01:44:13,
src/app.test.ts,b985487,typicode,feat: add object support,111,112,typicode,ef141aa,0,2024-01-05 00:55:49,2024-01-02 01:44:13
src/app.test.ts,ef141aa,typicode,V1 (#1468),113,129,,,0,2024-01-02 01:44:13,
src/app.ts,fc1d561,typicode,update dependencies and fix path,22,22,typicode,770bed2,1,2024-01-09 12:53:54,2024-01-09 12:40:55
src/app.ts,780e246,typicode,Update deps and allow any header in CORS (#1611),40,48,xw,1b7c0fb,0,2024-09-24 10:27:38,2024-06-03 11:22:40
src/app.ts,ef141aa,typicode,V1 (#1468),49,50,,,0,2024-01-02 01:44:13,
src/app.ts,d030702,typicode,fix: public,34,34,typicode,86d0c26,1,2024-01-26 16:29:44,2024-01-22 14:59:43
src/app.ts,ef141aa,typicode,V1 (#1468),1,21,,,0,2024-01-02 01:44:13,
src/app.ts,ef141aa,typicode,V1 (#1468),35,39,,,0,2024-01-02 01:44:13,
src/app.ts,ef141aa,typicode,V1 (#1468),23,33,,,0,2024-01-02 01:44:13,
