File,Commit,Author,Commit Message,Start Line,End Line,Previous Author,Previous Commit,Keyword Label,Commit Date,Previous Commit Date
views/contrib.html,b7794c4,u2,Add contributions repos,1,6,,,0,2016-02-18 16:09:25,
config.ru,be62711,okor,added a config.ru for rack/local dev,1,2,,,0,2012-08-29 16:45:09,
views/api_limit.html,c5e49dd,Joah Gerstenberg,Adds 403 Handling,4,6,,,0,2013-12-06 18:25:27,
views/api_limit.html,8861a7d,u2,Update to HTML5,2,3,Joah Gerstenberg,c5e49dd,0,2016-02-17 15:34:25,2013-12-06 18:25:27
views/api_limit.html,c5e49dd,Joah Gerstenberg,Adds 403 Handling,1,1,,,0,2013-12-06 18:25:27,
views/api_limit.html,8861a7d,u2,Update to HTML5,7,7,Joah Gerstenberg,c5e49dd,0,2016-02-17 15:34:25,2013-12-06 18:25:27
views/api_limit.html,c5e49dd,Joah Gerstenberg,Adds 403 Handling,10,10,,,0,2013-12-06 18:25:27,
views/api_limit.html,8861a7d,u2,Update to HTML5,9,9,Joah Gerstenberg,c5e49dd,0,2016-02-17 15:34:25,2013-12-06 18:25:27
views/api_limit.html,c5e49dd,Joah Gerstenberg,Adds 403 Handling,8,8,,,0,2013-12-06 18:25:27,
README.markdown,25699e1,Nanda Kishore,Added README.txt with a possible usecase,4,4,,,0,2011-04-19 06:27:26,
README.markdown,0dc3f6d,David Coallier,Added ability to opt-out text.,8,8,Nanda Kishore,25699e1,0,2013-11-19 14:40:00,2011-04-19 06:27:26
README.markdown,25699e1,Nanda Kishore,Added README.txt with a possible usecase,2,2,,,0,2011-04-19 06:27:26,
README.markdown,6ca53fd,Bardi Harborow,Rewrite and cleanup README.,5,5,Simonarde Lima,d6780a6,0,2016-08-05 05:29:01,2015-10-31 12:00:22
README.markdown,6ca53fd,Bardi Harborow,Rewrite and cleanup README.,7,7,Simonarde Lima,d6780a6,0,2016-08-05 05:29:01,2015-10-31 12:00:22
README.markdown,25699e1,Nanda Kishore,Added README.txt with a possible usecase,6,6,,,0,2011-04-19 06:27:26,
README.markdown,6ca53fd,Bardi Harborow,Rewrite and cleanup README.,3,3,Simonarde Lima,d6780a6,0,2016-08-05 05:29:01,2015-10-31 12:00:22
README.markdown,6ca53fd,Bardi Harborow,Rewrite and cleanup README.,1,1,Simonarde Lima,d6780a6,0,2016-08-05 05:29:01,2015-10-31 12:00:22
README.markdown,d6780a6,Simonarde Lima,just adjusting some texts :-),13,13,7rans,d9dca6e,0,2015-10-31 12:00:22,2013-11-19 22:31:01
README.markdown,6ca53fd,Bardi Harborow,Rewrite and cleanup README.,9,9,Simonarde Lima,d6780a6,0,2016-08-05 05:29:01,2015-10-31 12:00:22
README.markdown,18595f6,m5n,Add developer info.,14,15,7rans,d9dca6e,0,2013-11-26 16:28:06,2013-11-19 22:31:01
README.markdown,18595f6,m5n,Add developer info.,10,12,7rans,d9dca6e,0,2013-11-26 16:28:06,2013-11-19 22:31:01
views/error.html,8861a7d,u2,Update to HTML5,2,3,u2,f23b2f9,0,2016-02-17 15:34:25,2016-02-16 06:39:09
views/error.html,47aba3b,David Coallier,The initial github resumes repository,8,8,,,0,2011-02-06 14:36:30,
views/error.html,47aba3b,David Coallier,The initial github resumes repository,11,11,,,0,2011-02-06 14:36:30,
views/error.html,8861a7d,u2,Update to HTML5,5,7,u2,f23b2f9,0,2016-02-17 15:34:25,2016-02-16 06:39:09
views/error.html,47aba3b,David Coallier,The initial github resumes repository,1,1,,,0,2011-02-06 14:36:30,
views/error.html,47aba3b,David Coallier,The initial github resumes repository,4,4,,,0,2011-02-06 14:36:30,
views/error.html,8861a7d,u2,Update to HTML5,9,10,u2,f23b2f9,0,2016-02-17 15:34:25,2016-02-16 06:39:09
css/print.css,8861a7d,u2,Update to HTML5,16,16,okor,9def42b,0,2016-02-17 15:34:25,2012-08-29 17:09:10
css/print.css,df9d5c0,NumEricR,Added a print stylesheet on résumé,29,36,,,0,2011-06-04 19:44:00,
css/print.css,df9d5c0,NumEricR,Added a print stylesheet on résumé,1,15,,,0,2011-06-04 19:44:00,
css/print.css,df9d5c0,NumEricR,Added a print stylesheet on résumé,41,45,,,0,2011-06-04 19:44:00,
css/print.css,df9d5c0,NumEricR,Added a print stylesheet on résumé,17,27,,,0,2011-06-04 19:44:00,
css/print.css,9def42b,okor,"added subtle background, added email and print links",28,28,NumEricR,90cc3f4,0,2012-08-29 17:09:10,2011-07-26 20:40:29
css/print.css,8861a7d,u2,Update to HTML5,46,46,okor,9def42b,0,2016-02-17 15:34:25,2012-08-29 17:09:10
css/print.css,90cc3f4,NumEricR,Fixed layout issue with repositories URL on print stylesheet,37,40,NumEricR,df9d5c0,1,2011-07-26 20:40:29,2011-06-04 19:44:00
css/print.css,df9d5c0,NumEricR,Added a print stylesheet on résumé,52,64,,,0,2011-06-04 19:44:00,
css/print.css,8861a7d,u2,Update to HTML5,51,51,okor,9def42b,0,2016-02-17 15:34:25,2012-08-29 17:09:10
css/print.css,df9d5c0,NumEricR,Added a print stylesheet on résumé,66,67,,,0,2011-06-04 19:44:00,
css/print.css,8861a7d,u2,Update to HTML5,68,68,okor,9def42b,0,2016-02-17 15:34:25,2012-08-29 17:09:10
css/print.css,df9d5c0,NumEricR,Added a print stylesheet on résumé,47,50,,,0,2011-06-04 19:44:00,
