File,Commit,Author,Commit Message,Start Line,End Line,Previous Author,Previous Commit,Keyword Label,Commit Date,Previous Commit Date
css/layout.scss,e234478,alifeee,fix r-stack with `grid-template-rows: 100%;`,28,28,Richard D,ac46f77,1,2024-03-24 23:11:22,2022-02-24 12:52:52
css/layout.scss,9d11927,Hakim El Hattab,auto-animate example in demo,1,18,,,0,2020-05-19 08:22:24,
css/layout.scss,aa66779,Hakim El Hattab,fit-text helper now triggers lazyily when slide enters view distance,20,24,Hakim El Hattab,cd5161f,0,2020-06-09 08:28:01,2020-05-20 12:33:52
css/layout.scss,9d11927,Hakim El Hattab,auto-animate example in demo,29,39,,,0,2020-05-19 08:22:24,
css/layout.scss,cd2a792,Hakim El Hattab,allow images inside of h/vstacks to be proportionally downsized,40,45,Hakim El Hattab,aa66779,0,2020-06-09 11:31:21,2020-06-09 08:28:01
css/layout.scss,9d11927,Hakim El Hattab,auto-animate example in demo,46,49,,,0,2020-05-19 08:22:24,
css/layout.scss,9d11927,Hakim El Hattab,auto-animate example in demo,25,27,,,0,2020-05-19 08:22:24,
css/layout.scss,ac46f77,Richard D,Removed incorrect possessive apostrophe,19,19,Hakim El Hattab,cd2a792,0,2022-02-24 12:52:52,2020-06-09 11:31:21
css/layout.scss,cd5161f,Hakim El Hattab,initial work for hstack and vstack,50,51,Hakim El Hattab,9d11927,0,2020-05-20 12:33:52,2020-05-19 08:22:24
css/layout.scss,9d11927,Hakim El Hattab,auto-animate example in demo,52,55,,,0,2020-05-19 08:22:24,
css/layout.scss,9d11927,Hakim El Hattab,auto-animate example in demo,56,56,,,0,2020-05-19 08:22:24,
css/layout.scss,9d11927,Hakim El Hattab,auto-animate example in demo,58,59,,,0,2020-05-19 08:22:24,
css/layout.scss,cd5161f,Hakim El Hattab,initial work for hstack and vstack,57,57,Hakim El Hattab,9d11927,0,2020-05-20 12:33:52,2020-05-19 08:22:24
css/layout.scss,cd5161f,Hakim El Hattab,initial work for hstack and vstack,60,70,,,0,2020-05-20 12:33:52,
css/theme/source/blood.scss,ecc8c78,Hakim El Hattab,tweaks to blood theme,28,29,Hakim El Hattab,b25fa50,0,2015-03-02 11:27:15,2014-02-17 10:55:38
css/theme/source/blood.scss,80a4dfc,Walther,add theme 'blood.',32,43,,,0,2013-09-22 15:54:45,
css/theme/source/blood.scss,b8bb94f,Hakim El Hattab,"upgrade to gulp 5.0, latest sass, & node-qunit-puppeteer #3608",44,44,Hakim El Hattab,166af89,0,2024-10-11 12:50:22,2020-06-05 08:03:07
css/theme/source/blood.scss,80a4dfc,Walther,add theme 'blood.',30,31,,,0,2013-09-22 15:54:45,
css/theme/source/blood.scss,80a4dfc,Walther,add theme 'blood.',15,27,,,0,2013-09-22 15:54:45,
css/theme/source/blood.scss,80a4dfc,Walther,add theme 'blood.',1,12,,,0,2013-09-22 15:54:45,
css/theme/source/blood.scss,80a4dfc,Walther,add theme 'blood.',45,49,,,0,2013-09-22 15:54:45,
css/theme/source/blood.scss,b8bb94f,Hakim El Hattab,"upgrade to gulp 5.0, latest sass, & node-qunit-puppeteer #3608",13,14,Hakim El Hattab,166af89,0,2024-10-11 12:50:22,2020-06-05 08:03:07
css/theme/source/blood.scss,166af89,Hakim El Hattab,all themes now have contrasting text colors based on slide bg,50,52,Hakim El Hattab,8162855,0,2020-06-05 08:03:07,2016-06-10 08:58:40
css/theme/source/blood.scss,ecc8c78,Hakim El Hattab,tweaks to blood theme,71,71,Hakim El Hattab,b25fa50,0,2015-03-02 11:27:15,2014-02-17 10:55:38
css/theme/source/blood.scss,80a4dfc,Walther,add theme 'blood.',80,88,,,0,2013-09-22 15:54:45,
css/theme/source/blood.scss,80a4dfc,Walther,add theme 'blood.',72,79,,,0,2013-09-22 15:54:45,
css/theme/source/blood.scss,80a4dfc,Walther,add theme 'blood.',53,64,,,0,2013-09-22 15:54:45,
css/theme/source/blood.scss,166af89,Hakim El Hattab,all themes now have contrasting text colors based on slide bg,65,70,Hakim El Hattab,8162855,0,2020-06-05 08:03:07,2016-06-10 08:58:40
css/theme/source/dracula.scss,7a613a4,Juhamatti Niemelä,Add theme 'dracula'  New theme using color palette from [Dracula](https://draculatheme.com/) dark editor theme available for quite a number of different applications.,1,11,,,0,2022-11-19 18:29:59,
css/theme/source/dracula.scss,7a613a4,Juhamatti Niemelä,Add theme 'dracula'  New theme using color palette from [Dracula](https://draculatheme.com/) dark editor theme available for quite a number of different applications.,106,107,,,0,2022-11-19 18:29:59,
css/theme/source/dracula.scss,7a613a4,Juhamatti Niemelä,Add theme 'dracula'  New theme using color palette from [Dracula](https://draculatheme.com/) dark editor theme available for quite a number of different applications.,12,12,,,0,2022-11-19 18:29:59,
css/theme/source/dracula.scss,81ea116,Thomas Fritsch,refactor dracula theme sass code,91,100,Thomas Fritsch,3a830dd,0,2023-09-02 10:21:54,2023-09-02 10:19:59
css/theme/source/dracula.scss,dfc5690,Hakim El Hattab,"add missing font to dracula theme, fixes #3781",13,15,Thomas Fritsch,81ea116,0,2025-03-28 13:15:33,2023-09-02 10:21:54
css/theme/source/dracula.scss,7a613a4,Juhamatti Niemelä,Add theme 'dracula'  New theme using color palette from [Dracula](https://draculatheme.com/) dark editor theme available for quite a number of different applications.,16,89,,,0,2022-11-19 18:29:59,
css/theme/source/dracula.scss,777e2a2,Thomas Fritsch,"fix dracula li markers  replace :before pseudo elements with :marker selector  allows to have different marker based on the level of nesting (as in other themes : disc, square, circle)",101,105,Juhamatti Niemelä,7a613a4,1,2023-09-02 10:03:11,2022-11-19 18:29:59
css/theme/source/dracula.scss,777e2a2,Thomas Fritsch,"fix dracula li markers  replace :before pseudo elements with :marker selector  allows to have different marker based on the level of nesting (as in other themes : disc, square, circle)",90,90,,,1,2023-09-02 10:03:11,
