File,Commit,Author,Commit Message,Start Line,End Line,Previous Author,Previous Commit,Keyword Label,Commit Date,Previous Commit Date
inference/configs/config_16B.json,4c2fdb8,stack-heap-overflow,Release DeepSeek-V3,1,19,,,0,2024-12-26 11:01:57,
inference/configs/config_236B.json,4c2fdb8,stack-heap-overflow,Release DeepSeek-V3,1,20,,,0,2024-12-26 11:01:57,
inference/configs/config_671B.json,4c2fdb8,stack-heap-overflow,Release DeepSeek-V3,1,22,,,0,2024-12-26 11:01:57,
LICENSE-CODE,4c2fdb8,stack-heap-overflow,Release DeepSeek-V3,1,21,,,0,2024-12-26 11:01:57,
LICENSE-MODEL,4c2fdb8,stack-heap-overflow,Release DeepSeek-V3,1,91,,,0,2024-12-26 11:01:57,
inference/convert.py,4c2fdb8,stack-heap-overflow,Release DeepSeek-V3,64,72,,,0,2024-12-26 11:01:57,
inference/convert.py,2756e13,Roman Fitzjalen,clarify assertion error,63,63,enoch kan,a1296f0,1,2025-01-28 12:16:54,2025-01-05 18:18:18
inference/convert.py,a1296f0,enoch kan,Enhance documentation and update .gitignore for model conversion scripts,34,45,Xingkai Yu,8710ec2,0,2025-01-05 18:18:18,2024-12-31 10:05:55
inference/convert.py,4c2fdb8,stack-heap-overflow,Release DeepSeek-V3,1,33,,,0,2024-12-26 11:01:57,
inference/convert.py,8710ec2,Xingkai Yu,require model-parallel in convert.py,93,93,,,0,2024-12-31 10:05:55,
inference/convert.py,4c2fdb8,stack-heap-overflow,Release DeepSeek-V3,74,92,,,0,2024-12-26 11:01:57,
inference/convert.py,2756e13,Roman Fitzjalen,clarify assertion error,73,73,enoch kan,a1296f0,1,2025-01-28 12:16:54,2025-01-05 18:18:18
inference/convert.py,4c2fdb8,stack-heap-overflow,Release DeepSeek-V3,46,62,,,0,2024-12-26 11:01:57,
inference/convert.py,4c2fdb8,stack-heap-overflow,Release DeepSeek-V3,94,94,,,0,2024-12-26 11:01:57,
inference/convert.py,2756e13,Roman Fitzjalen,clarify assertion error,95,95,enoch kan,a1296f0,1,2025-01-28 12:16:54,2025-01-05 18:18:18
inference/convert.py,4c2fdb8,stack-heap-overflow,Release DeepSeek-V3,96,96,,,0,2024-12-26 11:01:57,
inference/generate.py,4c2fdb8,stack-heap-overflow,Release DeepSeek-V3,25,37,,,0,2024-12-26 11:01:57,
inference/generate.py,4c2fdb8,stack-heap-overflow,Release DeepSeek-V3,51,51,,,0,2024-12-26 11:01:57,
inference/generate.py,a1296f0,enoch kan,Enhance documentation and update .gitignore for model conversion scripts,89,99,stack-heap-overflow,4c2fdb8,0,2025-01-05 18:18:18,2024-12-26 11:01:57
inference/generate.py,a1296f0,enoch kan,Enhance documentation and update .gitignore for model conversion scripts,15,24,stack-heap-overflow,4c2fdb8,0,2025-01-05 18:18:18,2024-12-26 11:01:57
inference/generate.py,2756e13,Roman Fitzjalen,clarify assertion error,52,52,enoch kan,a1296f0,1,2025-01-28 12:16:54,2025-01-05 18:18:18
inference/generate.py,4c2fdb8,stack-heap-overflow,Release DeepSeek-V3,1,14,,,0,2024-12-26 11:01:57,
inference/generate.py,4c2fdb8,stack-heap-overflow,Release DeepSeek-V3,53,88,,,0,2024-12-26 11:01:57,
inference/generate.py,a1296f0,enoch kan,Enhance documentation and update .gitignore for model conversion scripts,38,50,stack-heap-overflow,4c2fdb8,0,2025-01-05 18:18:18,2024-12-26 11:01:57
inference/generate.py,4c2fdb8,stack-heap-overflow,Release DeepSeek-V3,149,161,,,0,2024-12-26 11:01:57,
inference/generate.py,4c2fdb8,stack-heap-overflow,Release DeepSeek-V3,100,147,,,0,2024-12-26 11:01:57,
inference/generate.py,2756e13,Roman Fitzjalen,clarify assertion error,148,148,enoch kan,a1296f0,1,2025-01-28 12:16:54,2025-01-05 18:18:18
inference/generate.py,4c2fdb8,stack-heap-overflow,Release DeepSeek-V3,185,185,,,0,2024-12-26 11:01:57,
inference/generate.py,a1296f0,enoch kan,Enhance documentation and update .gitignore for model conversion scripts,162,175,stack-heap-overflow,4c2fdb8,0,2025-01-05 18:18:18,2024-12-26 11:01:57
inference/generate.py,4c2fdb8,stack-heap-overflow,Release DeepSeek-V3,176,183,,,0,2024-12-26 11:01:57,
