File,Commit,Author,Commit Message,Start Line,End Line,Previous Author,Previous Commit,Keyword Label,Commit Date,Previous Commit Date
docs/CNAME,65ef34f,Vinta,use MkDocs to generate a static website,1,1,,,0,2015-06-06 19:36:52,
LICENSE,ea513dd,Vinta,add LICENSE Fixes #328,1,3,,,0,2015-03-21 17:59:24,
docs/css/extra.css,13f9cc6,Lint,Removed dead css,1,3,Vinta,21ab061,0,2019-03-03 08:30:47,2018-04-10 18:11:11
docs/css/extra.css,65ef34f,Vinta,use MkDocs to generate a static website,4,4,,,0,2015-06-06 19:36:52,
docs/css/extra.css,13f9cc6,Lint,Removed dead css,5,7,Vinta,21ab061,0,2019-03-03 08:30:47,2018-04-10 18:11:11
docs/css/extra.css,65ef34f,Vinta,use MkDocs to generate a static website,8,9,,,0,2015-06-06 19:36:52,
Makefile,21ab061,Vinta,update mkdocs config,1,1,Vinta,02a72b1,0,2018-04-10 18:11:11,2017-11-22 17:51:46
Makefile,97dd417,Vinta,update Makefile,2,2,Vinta,21ab061,0,2019-03-02 16:06:09,2018-04-10 18:11:11
Makefile,65ef34f,Vinta,use MkDocs to generate a static website,3,3,,,0,2015-06-06 19:36:52,
Makefile,21ab061,Vinta,update mkdocs config,4,5,Vinta,02a72b1,0,2018-04-10 18:11:11,2017-11-22 17:51:46
Makefile,4f55f2d,Vinta,fix Makefile,6,6,Vinta,65ef34f,1,2015-06-09 11:19:41,2015-06-06 19:36:52
Makefile,21ab061,Vinta,update mkdocs config,7,7,Vinta,02a72b1,0,2018-04-10 18:11:11,2017-11-22 17:51:46
Makefile,65ef34f,Vinta,use MkDocs to generate a static website,8,9,,,0,2015-06-06 19:36:52,
Makefile,97dd417,Vinta,update Makefile,10,12,Vinta,21ab061,0,2019-03-02 16:06:09,2018-04-10 18:11:11
Makefile,65ef34f,Vinta,use MkDocs to generate a static website,14,14,,,0,2015-06-06 19:36:52,
Makefile,21ab061,Vinta,update mkdocs config,13,13,,,0,2018-04-10 18:11:11,
mkdocs.yml,c56f3b6,Vinta,update mkdocs.yml,1,6,Lint,04c0ba8,0,2019-03-02 16:06:38,2019-02-27 08:58:29
mkdocs.yml,04c0ba8,Lint,Update .travis.yml for automatic deployment,7,7,Vinta,21ab061,0,2019-02-27 08:58:29,2018-04-10 18:11:11
mkdocs.yml,c56f3b6,Vinta,update mkdocs.yml,8,8,Lint,04c0ba8,0,2019-03-02 16:06:38,2019-02-27 08:58:29
mkdocs.yml,ca9220c,Vinta,fancy theme: mkdocs-material  https://github.com/squidfunk/mkdocs-material,9,9,Vinta,618fc17,0,2017-10-26 20:13:31,2017-04-24 13:16:54
mkdocs.yml,04c0ba8,Lint,Update .travis.yml for automatic deployment,12,12,Vinta,21ab061,0,2019-02-27 08:58:29,2018-04-10 18:11:11
