File,Commit,Author,Commit Message,Start Line,End Line,Previous Author,Previous Commit,Keyword Label,Commit Date,Previous Commit Date
MANIFEST.in,a4c3bb0,TonyCrane,update packaging method,1,2,,,0,2021-06-26 04:23:14,
docs/Makefile,5dbc7d8,Tony031218,set up docs,1,20,Tony031218,b54e9ef,0,2021-01-24 01:49:29,2021-01-02 11:12:54
docs/make.bat,5dbc7d8,Tony031218,set up docs,1,35,Tony031218,b54e9ef,0,2021-01-24 01:49:29,2021-01-02 11:12:54
docs/source/manim_example_ext.py,42c59f8,Tony031218,create manim_example_ext,1,108,,,0,2021-01-24 15:22:11,
docs/example.py,cfd32c7,friedkeenan,Switch old syntax for animating methods to .animate syntax,17,17,Tony031218,cd79151,0,2021-02-10 15:10:31,2021-01-25 11:53:44
docs/example.py,cd79151,Tony031218,finished Quick Start,18,18,,,0,2021-01-25 11:53:44,
docs/example.py,762f1ab,meadlai,Fix the import  Fix the import statement,1,1,friedkeenan,cfd32c7,1,2021-09-04 13:31:57,2021-02-10 15:10:31
docs/example.py,cd79151,Tony031218,finished Quick Start,16,16,,,0,2021-01-25 11:53:44,
docs/example.py,cfd32c7,friedkeenan,Switch old syntax for animating methods to .animate syntax,15,15,Tony031218,cd79151,0,2021-02-10 15:10:31,2021-01-25 11:53:44
docs/example.py,cd79151,Tony031218,finished Quick Start,20,28,,,0,2021-01-25 11:53:44,
docs/example.py,cd79151,Tony031218,finished Quick Start,2,14,,,0,2021-01-25 11:53:44,
docs/example.py,cfd32c7,friedkeenan,Switch old syntax for animating methods to .animate syntax,19,19,Tony031218,cd79151,0,2021-02-10 15:10:31,2021-01-25 11:53:44
docs/example.py,cfd32c7,friedkeenan,Switch old syntax for animating methods to .animate syntax,29,29,Tony031218,cd79151,0,2021-02-10 15:10:31,2021-01-25 11:53:44
docs/example.py,cd79151,Tony031218,finished Quick Start,34,35,,,0,2021-01-25 11:53:44,
docs/example.py,cfd32c7,friedkeenan,Switch old syntax for animating methods to .animate syntax,36,36,Tony031218,cd79151,0,2021-02-10 15:10:31,2021-01-25 11:53:44
