File,Commit,Author,Commit Message,Start Line,End Line,Previous Author,Previous Commit,Keyword Label,Commit Date,Previous Commit Date
scripts/tests/__init__.py,d86c263,Matheus Felipe,Create test structure,1,1,Matheus Felipe,f59cb82,0,2022-01-12 00:09:43,2022-01-11 05:38:26
scripts/github_pull_request.sh,9e790e5,Matheus Felipe,Remove old scripts,7,7,,,0,2022-01-17 21:23:39,
scripts/github_pull_request.sh,9e790e5,Matheus Felipe,Remove old scripts,20,20,,,0,2022-01-17 21:23:39,
scripts/github_pull_request.sh,9e790e5,Matheus Felipe,Remove old scripts,14,14,,,0,2022-01-17 21:23:39,
scripts/github_pull_request.sh,9bb225e,Matheus Felipe,Create new workflow to run test of push and pull,15,19,Roelof,4a31955,0,2022-01-17 21:18:39,2020-03-17 10:49:24
scripts/github_pull_request.sh,9bb225e,Matheus Felipe,Create new workflow to run test of push and pull,1,6,Roelof,4a31955,0,2022-01-17 21:18:39,2020-03-17 10:49:24
scripts/github_pull_request.sh,9bb225e,Matheus Felipe,Create new workflow to run test of push and pull,8,13,Roelof,4a31955,0,2022-01-17 21:18:39,2020-03-17 10:49:24
scripts/github_pull_request.sh,9bb225e,Matheus Felipe,Create new workflow to run test of push and pull,21,33,Roelof,4a31955,0,2022-01-17 21:18:39,2020-03-17 10:49:24
scripts/github_pull_request.sh,9e790e5,Matheus Felipe,Remove old scripts,34,34,,,0,2022-01-17 21:23:39,
scripts/github_pull_request.sh,9e790e5,Matheus Felipe,Remove old scripts,48,49,,,0,2022-01-17 21:23:39,
scripts/github_pull_request.sh,9bb225e,Matheus Felipe,Create new workflow to run test of push and pull,35,47,Roelof,4a31955,0,2022-01-17 21:18:39,2020-03-17 10:49:24
scripts/github_pull_request.sh,9bb225e,Matheus Felipe,Create new workflow to run test of push and pull,54,55,Roelof,4a31955,0,2022-01-17 21:18:39,2020-03-17 10:49:24
scripts/github_pull_request.sh,9bb225e,Matheus Felipe,Create new workflow to run test of push and pull,57,57,Roelof,4a31955,0,2022-01-17 21:18:39,2020-03-17 10:49:24
scripts/github_pull_request.sh,9bb225e,Matheus Felipe,Create new workflow to run test of push and pull,50,52,Roelof,4a31955,0,2022-01-17 21:18:39,2020-03-17 10:49:24
scripts/github_pull_request.sh,9e790e5,Matheus Felipe,Remove old scripts,56,56,,,0,2022-01-17 21:23:39,
scripts/github_pull_request.sh,9e790e5,Matheus Felipe,Remove old scripts,53,53,,,0,2022-01-17 21:23:39,
scripts/tests/test_validate_links.py,ef8c4f0,Matheus Felipe,Create basic test to get host from link,8,8,Matheus Felipe,d06a371,0,2022-01-12 04:26:39,2022-01-12 01:32:43
scripts/tests/test_validate_links.py,bf4dfcd,Matheus Felipe,Create basic test to find_link_in_text function,5,5,Matheus Felipe,80ba726,0,2022-01-12 01:16:26,2022-01-12 00:13:46
scripts/tests/test_validate_links.py,1866c0d,Matheus Felipe,Create basic test to fake_user_agent,7,7,Matheus Felipe,4edd0d5,0,2022-01-13 19:45:14,2022-01-12 23:00:56
scripts/tests/test_validate_links.py,8d59069,Matheus Felipe,Create basic test to check_duplicate_links,22,33,Matheus Felipe,1866c0d,0,2022-01-13 20:14:13,2022-01-13 19:45:14
scripts/tests/test_validate_links.py,4edd0d5,Matheus Felipe,Create basic tests to has_cloudflare_protection,9,16,Matheus Felipe,a707c4b,0,2022-01-12 23:00:56,2022-01-12 04:30:08
scripts/tests/test_validate_links.py,80ba726,Matheus Felipe,Create TestValidateLinks class,18,18,,,0,2022-01-12 00:13:46,
