File,Commit,Author,Commit Message,Start Line,End Line,Previous Author,Previous Commit,Keyword Label,Commit Date,Previous Commit Date
epub-metadata.yaml,55d09f6,Simon Knott,Add Ebook generation script (#207),1,3,,,0,2019-05-12 10:21:14,
resources/study_guide.graffle,408a3f4,Donne Martin,Add study guide OmniGraffle diagram and image,1,24,,,0,2017-04-02 12:24:06,
generate-epub.sh,55d09f6,Simon Knott,Add Ebook generation script (#207),2,36,,,0,2019-05-12 10:21:14,
generate-epub.sh,6020231,Sainadh Devireddy,Check dependencies in Ebook gen script (#406),38,50,Simon Knott,55d09f6,0,2020-07-04 01:24:24,2019-05-12 10:21:14
generate-epub.sh,55d09f6,Simon Knott,Add Ebook generation script (#207),51,54,,,0,2019-05-12 10:21:14,
generate-epub.sh,6020231,Sainadh Devireddy,Check dependencies in Ebook gen script (#406),1,1,Simon Knott,55d09f6,0,2020-07-04 01:24:24,2019-05-12 10:21:14
generate-epub.sh,7a094ce,Kian-Meng Ang,Fix typos (#661),37,37,Sainadh Devireddy,6020231,1,2022-04-23 13:14:45,2020-07-04 01:24:24
solutions/object_oriented_design/call_center/call_center.ipynb,98819e2,Donne Martin,Add Call Center solution,1,6,,,0,2017-03-04 02:52:50,
solutions/object_oriented_design/call_center/call_center.ipynb,ffbcd9a,Ali,Fix wording in call center solution (#197),27,27,Girish Raman,cd7ac6d,1,2018-08-09 12:01:27,2018-08-05 13:52:03
solutions/object_oriented_design/call_center/call_center.ipynb,ffbcd9a,Ali,Fix wording in call center solution (#197),29,29,Girish Raman,cd7ac6d,1,2018-08-09 12:01:27,2018-08-05 13:52:03
solutions/object_oriented_design/call_center/call_center.ipynb,98819e2,Donne Martin,Add Call Center solution,28,28,,,0,2017-03-04 02:52:50,
solutions/object_oriented_design/call_center/call_center.ipynb,cd7ac6d,Girish Raman,Fix broken URL (#194),7,7,Donne Martin,98819e2,1,2018-08-05 13:52:03,2017-03-04 02:52:50
solutions/object_oriented_design/call_center/call_center.ipynb,98819e2,Donne Martin,Add Call Center solution,8,26,,,0,2017-03-04 02:52:50,
solutions/object_oriented_design/call_center/call_center.ipynb,98819e2,Donne Martin,Add Call Center solution,30,206,,,0,2017-03-04 02:52:50,
resources/flash_cards/OO Design.apkg,ed2d35e,Donne Martin,Add Anki flashcards,1,54,,,0,2017-03-08 05:27:48,
solutions/object_oriented_design/call_center/call_center.py,e50f269,Christian Clauss,Change raise NotImplemented to raise NotImplementedError (#345),69,69,cclauss,f099a0a,0,2019-12-27 01:11:57,2018-03-07 00:37:46
solutions/object_oriented_design/call_center/call_center.py,98819e2,Donne Martin,Add Call Center solution,1,68,,,0,2017-03-04 02:52:50,
solutions/object_oriented_design/call_center/call_center.py,98819e2,Donne Martin,Add Call Center solution,70,114,,,0,2017-03-04 02:52:50,
solutions/object_oriented_design/call_center/call_center.py,f099a0a,cclauss,Convert all .py files to be valid Python (#98),115,122,Donne Martin,98819e2,0,2018-03-07 00:37:46,2017-03-04 02:52:50
solutions/object_oriented_design/call_center/__init__.py,98819e2,Donne Martin,Add Call Center solution,1,0,,,0,2017-03-04 02:52:50,
solutions/object_oriented_design/deck_of_cards/__init__.py,0f517c7,Donne Martin,Add Deck of Cards solution,1,0,,,0,2017-03-04 02:53:01,
solutions/object_oriented_design/hash_table/__init__.py,7595e2a,Donne Martin,Add Hash Table solution,1,0,,,0,2017-03-04 02:53:41,
solutions/object_oriented_design/hash_table/hash_map.ipynb,1f939ec,Narendra Choudhary Legha,Resolve #195: Fix broken GitHub URLs (#199),7,7,Donne Martin,7595e2a,1,2018-08-13 00:49:30,2017-03-04 02:53:41
solutions/object_oriented_design/hash_table/hash_map.ipynb,7595e2a,Donne Martin,Add Hash Table solution,1,6,,,0,2017-03-04 02:53:41,
solutions/object_oriented_design/hash_table/hash_map.ipynb,7595e2a,Donne Martin,Add Hash Table solution,8,121,,,0,2017-03-04 02:53:41,
solutions/object_oriented_design/hash_table/hash_map.py,7595e2a,Donne Martin,Add Hash Table solution,1,37,,,0,2017-03-04 02:53:41,
solutions/object_oriented_design/hash_table/hash_map.py,924570e,cclauss,Add newlines - PEP8 style (#173),38,38,Donne Martin,7595e2a,0,2018-07-19 06:09:09,2017-03-04 02:53:41
solutions/object_oriented_design/deck_of_cards/deck_of_cards.py,0f517c7,Donne Martin,Add Deck of Cards solution,72,94,,,0,2017-03-04 02:53:01,
solutions/object_oriented_design/deck_of_cards/deck_of_cards.py,0f517c7,Donne Martin,Add Deck of Cards solution,1,70,,,0,2017-03-04 02:53:01,
solutions/object_oriented_design/deck_of_cards/deck_of_cards.py,b156e48,cclauss,Add missing self variables to Deck of Cards solution (#145),71,71,cclauss,f099a0a,0,2018-03-18 13:21:52,2018-03-07 00:37:46
solutions/object_oriented_design/deck_of_cards/deck_of_cards.py,f099a0a,cclauss,Convert all .py files to be valid Python (#98),95,95,Donne Martin,0f517c7,0,2018-03-07 00:37:46,2017-03-04 02:53:01
solutions/object_oriented_design/deck_of_cards/deck_of_cards.py,f099a0a,cclauss,Convert all .py files to be valid Python (#98),116,117,Donne Martin,0f517c7,0,2018-03-07 00:37:46,2017-03-04 02:53:01
solutions/object_oriented_design/deck_of_cards/deck_of_cards.py,0f517c7,Donne Martin,Add Deck of Cards solution,96,104,,,0,2017-03-04 02:53:01,
solutions/object_oriented_design/deck_of_cards/deck_of_cards.py,0f517c7,Donne Martin,Add Deck of Cards solution,106,106,,,0,2017-03-04 02:53:01,
solutions/object_oriented_design/deck_of_cards/deck_of_cards.py,0f517c7,Donne Martin,Add Deck of Cards solution,108,115,,,0,2017-03-04 02:53:01,
solutions/object_oriented_design/deck_of_cards/deck_of_cards.py,b156e48,cclauss,Add missing self variables to Deck of Cards solution (#145),105,105,cclauss,f099a0a,0,2018-03-18 13:21:52,2018-03-07 00:37:46
solutions/object_oriented_design/deck_of_cards/deck_of_cards.py,b156e48,cclauss,Add missing self variables to Deck of Cards solution (#145),107,107,cclauss,f099a0a,0,2018-03-18 13:21:52,2018-03-07 00:37:46
solutions/object_oriented_design/deck_of_cards/deck_of_cards.ipynb,0f517c7,Donne Martin,Add Deck of Cards solution,1,6,,,0,2017-03-04 02:53:01,
solutions/object_oriented_design/deck_of_cards/deck_of_cards.ipynb,1f939ec,Narendra Choudhary Legha,Resolve #195: Fix broken GitHub URLs (#199),7,7,Bryan Jennings,6c4c2ab,1,2018-08-13 00:49:30,2017-12-02 01:51:33
